row	col	plot	year	yield
20	1	101	95	30
19	1	102	95	29.1
18	1	103	95	25.7
17	1	104	95	26.3
16	1	105	95	30.3
15	1	106	95	31.1
14	1	107	95	37.1
13	1	108	95	34.6
12	1	109	95	34.3
11	1	110	95	36.3
10	1	111	95	37.5
9	1	112	95	38.4
8	1	113	95	36.7
7	1	114	95	37.5
6	1	115	95	34.8
5	1	116	95	36.2
4	1	117	95	49.3
3	1	118	95	56.2
2	1	119	95	55.6
1	1	120	95	47.9
20	2	201	95	26.3
19	2	202	95	30.6
18	2	203	95	29.7
17	2	204	95	14.6
16	2	205	95	12.3
15	2	206	95	16.3
14	2	207	95	17.1
13	2	208	95	11.4
12	2	209	95	13.7
11	2	210	95	19.1
10	2	211	95	24.3
9	2	212	95	30.3
8	2	213	95	30.3
7	2	214	95	38.6
6	2	215	95	38.6
5	2	216	95	36.6
4	2	217	95	37.1
3	2	218	95	36.6
2	2	219	95	33.7
1	2	220	95	27.4
20	3	301	95	30
19	3	302	95	32.9
18	3	303	95	26.9
17	3	304	95	32.9
16	3	305	95	38.6
15	3	306	95	32.9
14	3	307	95	31.4
13	3	308	95	31.4
12	3	309	95	35.7
11	3	310	95	33.7
10	3	311	95	34.3
9	3	312	95	34.3
8	3	313	95	34.3
7	3	314	95	34.3
6	3	315	95	28.6
5	3	316	95	31.4
4	3	317	95	30
3	3	318	95	28.6
2	3	319	95	20
1	3	320	95	22
20	4	401	95	31.4
19	4	402	95	31.4
18	4	403	95	27.1
17	4	404	95	30
16	4	405	95	32.9
15	4	406	95	37.1
14	4	407	95	35.7
13	4	408	95	25.7
12	4	409	95	21.4
11	4	410	95	22.3
10	4	411	95	25.7
9	4	412	95	27.1
8	4	413	95	31.4
7	4	414	95	28.6
6	4	415	95	24.3
5	4	416	95	24.3
4	4	417	95	30
3	4	418	95	28.6
2	4	419	95	30
1	4	420	95	22.9
20	5	501	95	37.7
19	5	502	95	31.4
18	5	503	95	29.4
17	5	504	95	27.4
16	5	505	95	29.1
15	5	506	95	28.6
14	5	507	95	24.3
13	5	508	95	23.4
12	5	509	95	24
11	5	510	95	22.9
10	5	511	95	27.1
9	5	512	95	28.6
8	5	513	95	31.4
7	5	514	95	30
6	5	515	95	37.1
5	5	516	95	35.7
4	5	517	95	54.3
3	5	518	95	42.9
2	5	519	95	51.4
1	5	520	95	40
20	6	601	95	28.6
19	6	602	95	28.6
18	6	603	95	30.6
17	6	604	95	28.6
16	6	605	95	32
15	6	606	95	34.3
14	6	607	95	30
13	6	608	95	27.1
12	6	609	95	27.1
11	6	610	95	30
10	6	611	95	34.3
9	6	612	95	34.3
8	6	613	95	40
7	6	614	95	40
6	6	615	95	45.7
5	6	616	95	42.9
4	6	617	95	41.4
3	6	618	95	35.7
2	6	619	95	32.9
1	6	620	95	37.1
20	1	101	96	87.9
19	1	102	96	89.5
18	1	103	96	89.8
17	1	104	96	94.8
16	1	105	96	96.9
15	1	106	96	99.5
14	1	107	96	94.6
13	1	108	96	92.7
12	1	109	96	103.9
11	1	110	96	102.2
10	1	111	96	92.3
9	1	112	96	92.7
8	1	113	96	94.1
7	1	114	96	95.5
6	1	115	96	91.7
5	1	116	96	85.5
4	1	117	96	55.1
3	1	118	96	48.5
2	1	119	96	71.4
1	1	120	96	88.6
20	2	201	96	87.7
19	2	202	96	91.8
18	2	203	96	86.8
17	2	204	96	94.1
16	2	205	96	98.4
15	2	206	96	99
