plot	row	col	year	yield
101	20	1	95	30
102	19	1	95	29.1
103	18	1	95	25.7
104	17	1	95	26.3
105	16	1	95	30.3
106	15	1	95	31.1
107	14	1	95	37.1
108	13	1	95	34.6
109	12	1	95	34.3
110	11	1	95	36.3
111	10	1	95	37.5
112	9	1	95	38.4
113	8	1	95	36.7
114	7	1	95	37.5
115	6	1	95	34.8
116	5	1	95	36.2
117	4	1	95	49.3
118	3	1	95	56.2
119	2	1	95	55.6
120	1	1	95	47.9
201	20	2	95	26.3
202	19	2	95	30.6
203	18	2	95	29.7
204	17	2	95	14.6
205	16	2	95	12.3
206	15	2	95	16.3
207	14	2	95	17.1
208	13	2	95	11.4
209	12	2	95	13.7
210	11	2	95	19.1
211	10	2	95	24.3
212	9	2	95	30.3
213	8	2	95	30.3
214	7	2	95	38.6
215	6	2	95	38.6
216	5	2	95	36.6
217	4	2	95	37.1
218	3	2	95	36.6
219	2	2	95	33.7
220	1	2	95	27.4
301	20	3	95	30
302	19	3	95	32.9
303	18	3	95	26.9
304	17	3	95	32.9
305	16	3	95	38.6
306	15	3	95	32.9
307	14	3	95	31.4
308	13	3	95	31.4
309	12	3	95	35.7
310	11	3	95	33.7
311	10	3	95	34.3
312	9	3	95	34.3
313	8	3	95	34.3
314	7	3	95	34.3
315	6	3	95	28.6
316	5	3	95	31.4
317	4	3	95	30
318	3	3	95	28.6
319	2	3	95	20
320	1	3	95	22
401	20	4	95	31.4
402	19	4	95	31.4
403	18	4	95	27.1
404	17	4	95	30
405	16	4	95	32.9
406	15	4	95	37.1
407	14	4	95	35.7
408	13	4	95	25.7
409	12	4	95	21.4
410	11	4	95	22.3
411	10	4	95	25.7
412	9	4	95	27.1
413	8	4	95	31.4
414	7	4	95	28.6
415	6	4	95	24.3
416	5	4	95	24.3
417	4	4	95	30
418	3	4	95	28.6
419	2	4	95	30
420	1	4	95	22.9
501	20	5	95	37.7
502	19	5	95	31.4
503	18	5	95	29.4
504	17	5	95	27.4
505	16	5	95	29.1
506	15	5	95	28.6
507	14	5	95	24.3
508	13	5	95	23.4
509	12	5	95	24
510	11	5	95	22.9
511	10	5	95	27.1
512	9	5	95	28.6
513	8	5	95	31.4
514	7	5	95	30
515	6	5	95	37.1
516	5	5	95	35.7
517	4	5	95	54.3
518	3	5	95	42.9
519	2	5	95	51.4
520	1	5	95	40
601	20	6	95	28.6
602	19	6	95	28.6
603	18	6	95	30.6
604	17	6	95	28.6
605	16	6	95	32
606	15	6	95	34.3
607	14	6	95	30
608	13	6	95	27.1
609	12	6	95	27.1
610	11	6	95	30
611	10	6	95	34.3
612	9	6	95	34.3
613	8	6	95	40
614	7	6	95	40
615	6	6	95	45.7
616	5	6	95	42.9
617	4	6	95	41.4
618	3	6	95	35.7
619	2	6	95	32.9
620	1	6	95	37.1
101	20	1	96	87.9
102	19	1	96	89.5
103	18	1	96	89.8
104	17	1	96	94.8
105	16	1	96	96.9
106	15	1	96	99.5
107	14	1	96	94.6
108	13	1	96	92.7
109	12	1	96	103.9
110	11	1	96	102.2
111	10	1	96	92.3
112	9	1	96	92.7
113	8	1	96	94.1
114	7	1	96	95.5
