"row"	"col"	"yield"	"ears"
1	1	121	12
1	10	206	17
1	11	133	12
1	12	104	8
1	13	164	12
1	14	116	10
1	15	143	14
1	16	226	11
1	17	155	12
1	18	155	12
1	19	130	10
1	2	121	10
1	20	210	17
1	21	104	7
1	22	127	9
1	23	105	6
1	24	121	10
1	25	183	7
1	26	177	13
1	27	159	11
1	28	101	9
1	29	27	2
1	3	203	14
1	30	71	6
1	31	150	12
1	32	122	9
1	33	182	13
1	34	126	11
1	35	126	16
1	36	147	11
1	4	183	14
1	5	91	17
1	6	130	10
1	7	216	14
1	8	126	10
1	9	189	16
10	1	200	17
10	10	180	13
10	11	138	12
10	12	118	11
10	13	136	14
10	14	203	15
10	15	100	10
10	16	92	8
10	17	117	10
10	18	117	19
10	19	132	11
10	2	213	17
10	20	91	5
10	21	73	7
10	22	155	15
10	23	69	7
10	24	103	10
10	25	226	15
10	26	145	11
10	27	123	10
10	28	167	14
10	29	132	10
10	3	158	13
10	30	163	12
10	31	71	10
10	32	133	16
10	33	197	16
10	34	132	10
10	35	177	15
10	36	252	18
10	4	136	9
10	5	119	12
10	6	161	10
10	7	174	12
10	8	128	10
10	9	121	9
11	1	200	14
11	10	109	10
11	11	184	15
11	12	153	12
11	13	157	11
11	14	208	17
11	15	130	11
11	16	143	11
11	17	80	9
11	18	72	6
11	19	133	10
11	2	266	20
11	20	87	7
11	21	61	6
11	22	129	12
11	23	157	12
11	24	79	7
11	25	88	8
11	26	142	9
11	27	64	6
11	28	172	11
11	29	77	11
11	3	112	10
11	30	207	18
11	31	54	5
11	32	125	13
11	33	82	9
11	34	151	11
11	35	128	11
11	36	200	15
11	4	165	12
11	5	240	19
11	6	96	8
11	7	83	8
11	8	187	14
11	9	206	15
12	1	137	11
12	10	174	11
12	11	198	16
12	12	197	13
12	13	204	16
12	14	239	19
12	15	230	17
12	16	144	12
12	17	114	9
12	18	136	11
12	19	80	10
12	2	149	14
12	20	30	4
12	21	100	8
12	22	93	9
12	23	132	4
12	24	232	17
12	25	179	13
12	26	159	12
12	27	58	4
12	28	167	12
12	29	151	11
12	3	216	17
12	30	78	18
12	31	125	10
12	32	83	7
12	33	112	8
12	34	106	9
12	35	147	10
12	36	198	15
12	4	217	17
12	5	236	20
12	6	147	8
12	7	235	18
12	8	108	8
12	9	237	16
13	1	143	10
13	10	199	15
13	11	208	16
13	12	85	6
13	13	277	21
13	14	195	16
13	15	130	13
13	16	217	17
13	17	177	12
13	18	115	8
13	19	28	2
13	2	127	11
13	20	102	8
13	21	169	16
13	22	165	12
13	23	136	11
13	24	84	7
13	25	82	7
13	26	73	7
13	27	165	13
13	28	68	5
13	29	135	13
13	3	178	12
13	30	146	10
13	31	148	9
13	32	115	9
13	33	156	10
13	34	228	11
13	35	140	10
13	36	111	11
13	4	148	12
13	5	165	13
13	6	102	8
13	7	167	11
13	8	234	16
13	9	138	11
14	1	148	7
14	10	122	11
14	11	125	10
14	12	113	11
14	13	221	16
14	14	166	12
14	15	272	24
14	16	135	13
14	17	187	15
14	18	157	16
14	19	203	12
14	2	123	16
14	20	115	9
14	21	152	12
14	22	149	12
14	23	115	10
14	24	117	9
14	25	124	11
14	26	176	12
14	27	142	9
14	28	65	5
14	29	100	8
14	3	147	11
14	30	153	11
14	31	208	17
14	32	105	9
14	33	234	17
14	34	80	6
14	35	158	12
14	36	154	11
14	4	165	16
14	5	110	11
14	6	150	14
14	7	97	7
14	8	116	14
14	9	220	17
15	1	194	15
15	10	177	14
15	11	203	15
15	12	106	10
15	13	133	11
15	14	236	18
15	15	214	17
15	16	100	7
15	17	163	9
15	18	191	13
15	19	253	16
15	2	226	15
15	20	91	8
15	21	149	16
15	22	206	17
15	23	100	10
15	24	169	15
15	25	158	14
15	26	247	12
15	27	168	14
15	28	240	17
15	29	141	8
15	3	146	12
15	30	152	12
15	31	182	15
15	32	134	10
15	33	240	11
15	34	188	15
15	35	159	11
15	36	215	15
15	4	200	15
15	5	120	14
15	6	113	10
15	7	186	14
15	8	232	19
15	9	158	11
16	1	218	16
16	10	125	10
16	11	180	16
16	12	194	12
16	13	164	14
16	14	189	14
16	15	246	16
16	16	134	9
16	17	213	15
16	18	132	12
16	19	132	9
16	2	196	16
16	20	229	18
16	21	133	11
16	22	188	11
16	23	196	18
16	24	59	5
16	25	193	17
16	26	150	9
16	27	229	18
16	28	73	8
16	29	108	9
16	3	167	14
16	30	155	14
16	31	139	9
16	32	225	18
16	33	147	13
16	34	106	8
16	35	188	12
16	36	62	7
16	4	182	15
16	5	198	16
16	6	137	13
16	7	159	13
16	8	159	13
16	9	121	10
17	1	171	13
17	10	154	11
17	11	114	8
17	12	143	11
17	13	216	15
17	14	204	15
17	15	237	18
17	16	130	10
17	17	237	20
17	18	163	13
17	19	178	10
17	2	186	13
17	20	159	12
17	21	145	9
17	22	171	12
17	23	173	16
17	24	175	11
17	25	117	9
17	26	194	16
17	27	209	15
17	28	237	16
17	29	159	13
17	3	152	11
17	30	250	18
17	31	159	13
17	32	176	15
17	33	119	9
17	34	132	10
17	35	175	9
17	36	149	11
17	4	230	19
17	5	230	10
17	6	88	8
17	7	122	9
17	8	178	12
17	9	146	9
18	1	142	13
18	10	61	6
18	11	147	11
18	12	171	11
18	13	108	7
18	14	166	11
18	15	186	14
18	16	92	8
18	17	189	15
18	18	142	12
18	19	152	13
18	2	105	9
18	20	209	16
18	21	166	14
18	22	213	16
18	23	195	10
18	24	100	9
18	25	147	13
18	26	252	17
18	27	182	14
18	28	218	16
18	29	188	14
18	3	187	15
18	30	221	17
18	31	207	12
18	32	136	10
18	33	180	13
18	34	158	10
18	35	165	15
18	36	186	15
18	4	157	12
18	5	44	4
18	6	30	4
18	7	178	14
18	8	143	12
18	9	136	11
19	1	105	5
19	10	45	4
19	11	139	10
19	12	184	13
19	13	174	15
19	14	129	11
19	15	149	11
19	16	158	11
19	17	66	9
19	18	135	10
19	19	217	16
19	2	91	8
19	20	119	10
19	21	133	10
19	22	205	13
19	23	23	2
19	24	180	13
19	25	120	12
19	26	177	12
19	27	156	11
19	28	128	9
19	29	186	15
19	3	99	15
19	30	208	14
19	31	230	18
19	32	199	15
19	33	83	8
19	34	160	10
19	35	68	5
19	36	132	11
19	4	167	12
19	5	75	14
19	6	129	11
19	7	55	4
19	8	100	7
19	9	79	11
2	1	165	15
2	10	198	19
2	11	182	14
2	12	126	9
2	13	178	14
2	14	155	12
2	15	140	13
2	16	280	19
2	17	90	17
2	18	146	11
2	19	176	8
2	2	212	14
2	20	182	14
2	21	80	8
2	22	163	12
2	23	86	7
2	24	232	18
2	25	120	12
2	26	223	15
2	27	138	15
2	28	81	7
2	29	273	21
2	3	197	14
2	30	142	14
2	31	54	5
2	32	97	9
2	33	135	9
2	34	92	6
2	35	46	6
2	36	260	19
2	4	122	10
2	5	157	12
2	6	159	13
2	7	81	9
2	8	129	11
2	9	224	18
20	1	109	7
20	10	109	10
20	11	161	10
20	12	173	10
20	13	145	14
20	14	181	14
20	15	204	18
20	16	94	8
20	17	188	18
20	18	189	15
20	19	123	8
20	2	103	8
20	20	162	12
20	21	109	11
20	22	164	13
20	23	73	5
20	24	115	9
20	25	97	7
20	26	136	12
20	27	194	14
20	28	203	13
20	29	211	15
20	3	136	13
20	30	173	14
20	31	201	17
20	32	162	13
20	33	182	13
20	34	125	9
20	35	163	15
20	36	238	16
20	4	127	12
20	5	94	10
20	6	110	7
20	7	128	10
20	8	179	14
20	9	90	8
21	1	127	12
21	10	39	5
21	11	69	7
21	12	177	15
21	13	131	10
21	14	121	9
21	15	153	11
21	16	125	12
21	17	151	13
21	18	100	14
21	19	167	14
21	2	149	13
21	20	91	7
21	21	144	13
21	22	125	10
21	23	125	8
21	24	105	9
21	25	122	11
21	26	216	18
21	27	159	14
21	28	167	14
21	29	199	13
21	3	195	18
21	30	155	12
21	31	186	12
21	32	127	10
21	33	117	8
21	34	125	10
21	35	109	14
21	36	119	15
21	4	37	3
21	5	82	9
21	6	83	9
21	7	83	7
21	8	164	9
21	9	118	8
22	1	157	12
22	10	106	10
22	11	133	11
22	12	236	18
22	13	214	17
22	14	193	17
22	15	166	14
22	16	119	13
22	17	179	15
22	18	170	13
22	19	219	15
22	2	142	9
22	20	130	21
22	21	138	14
22	22	115	10
22	23	119	10
22	24	95	10
22	25	135	11
22	26	204	16
22	27	165	15
22	28	73	6
22	29	204	13
22	3	213	10
22	30	94	9
22	31	129	10
22	32	193	15
22	33	226	17
22	34	124	11
22	35	76	9
22	36	132	12
22	4	208	15
22	5	121	10
22	6	173	14
22	7	125	10
22	8	218	19
22	9	112	8
23	1	147	14
23	10	163	15
23	11	135	11
23	12	194	12
23	13	158	12
23	14	176	15
23	15	158	12
23	16	170	11
23	17	127	9
23	18	111	8
23	19	143	11
23	2	161	15
23	20	166	9
23	21	135	10
23	22	122	11
23	23	184	15
23	24	177	14
23	25	153	11
23	26	171	15
23	27	181	12
23	28	185	13
23	29	127	9
23	3	102	10
23	30	118	8
23	31	141	8
23	32	124	10
23	33	124	9
23	34	122	11
23	35	213	17
23	36	159	19
23	4	132	11
23	5	184	14
23	6	122	11
23	7	70	17
23	8	115	11
23	9	211	15
24	1	273	19
24	10	201	14
24	11	133	9
24	12	165	12
24	13	192	15
24	14	141	16
24	15	197	14
24	16	135	14
24	17	215	16
24	18	110	14
24	19	235	12
24	2	336	19
24	20	168	15
24	21	118	11
24	22	116	9
24	23	228	19
24	24	99	8
24	25	129	11
24	26	110	9
24	27	210	18
24	28	166	13
24	29	138	12
24	3	180	19
24	30	93	14
24	31	82	5
24	32	144	12
24	33	92	8
24	34	293	22
24	35	159	14
24	36	225	16
24	4	149	13
24	5	102	9
24	6	223	16
24	7	88	9
24	8	93	8
24	9	180	14
25	1	112	6
25	10	140	14
25	11	137	11
25	12	130	10
25	13	114	11
25	14	155	9
25	15	62	5
25	16	152	14
25	17	132	10
25	18	183	14
25	19	142	9
25	2	88	7
25	20	137	12
25	21	126	14
25	22	153	15
25	23	177	15
25	24	180	14
25	25	115	10
25	26	214	16
25	27	195	15
25	28	224	15
25	29	121	9
25	3	101	8
25	30	211	16
25	31	248	19
25	32	194	14
25	33	93	9
25	34	173	16
25	35	225	13
25	36	179	11
25	4	118	11
25	5	117	9
25	6	37	3
25	7	40	14
25	8	99	7
25	9	71	7
26	1	134	11
26	10	93	18
26	11	172	14
26	12	202	14
26	13	175	13
26	14	109	8
26	15	111	8
26	16	200	14
26	17	140	10
26	18	116	10
26	19	112	9
26	2	222	20
26	20	134	10
26	21	86	6
26	22	144	12
26	23	140	11
26	24	136	11
26	25	146	13
26	26	143	14
26	27	166	12
26	28	216	18
26	29	203	14
26	3	114	10
26	30	118	9
26	31	241	14
26	32	158	12
26	33	204	17
26	34	194	14
26	35	144	10
26	36	195	10
26	4	134	10
26	5	179	13
26	6	154	14
26	7	125	10
26	8	178	15
26	9	208	19
27	1	92	9
27	10	152	11
27	11	173	16
