block	year	trt	yield
B1	1930	Jun-01	230
B1	1931	Jun-01	324
B1	1932	Jun-01	512
B1	1933	Jun-01	399
B2	1930	Jun-01	216
B2	1931	Jun-01	317
B2	1932	Jun-01	448
B2	1933	Jun-01	361
B3	1930	Jun-01	219
B3	1931	Jun-01	357
B3	1932	Jun-01	496
B3	1933	Jun-01	344
B4	1930	Jun-01	200
B4	1931	Jun-01	362
B4	1932	Jun-01	540
B4	1933	Jun-01	381
B1	1930	Jun-15	212
B1	1931	Jun-15	415
B1	1932	Jun-15	584
B1	1933	Jun-15	386
B2	1930	Jun-15	190
B2	1931	Jun-15	296
B2	1932	Jun-15	471
B2	1933	Jun-15	280
B3	1930	Jun-15	151
B3	1931	Jun-15	278
B3	1932	Jun-15	399
B3	1933	Jun-15	254
B4	1930	Jun-15	150
B4	1931	Jun-15	336
B4	1932	Jun-15	485
B4	1933	Jun-15	279
B1	1930	Jul-01	183
B1	1931	Jul-01	320
B1	1932	Jul-01	456
B1	1933	Jul-01	255
B2	1930	Jul-01	186
B2	1931	Jul-01	295
B2	1932	Jul-01	387
B2	1933	Jul-01	187
B3	1930	Jul-01	177
B3	1931	Jul-01	298
B3	1932	Jul-01	427
B3	1933	Jul-01	239
B4	1930	Jul-01	209
B4	1931	Jul-01	328
B4	1932	Jul-01	462
B4	1933	Jul-01	244
B1	1930	Jul-15	148
B1	1931	Jul-15	246
B1	1932	Jul-15	304
B1	1933	Jul-15	144
B2	1930	Jul-15	126
B2	1931	Jul-15	201
B2	1932	Jul-15	289
B2	1933	Jul-15	83
B3	1930	Jul-15	107
B3	1931	Jul-15	192
B3	1932	Jul-15	271
B3	1933	Jul-15	90
B4	1930	Jul-15	168
B4	1931	Jul-15	226
B4	1932	Jul-15	312
B4	1933	Jul-15	168
