"gen"	"strain"	"year"	"y"
"SVP72017-17-5-10"	"F39"	"1986"	2
"SVP77076-4"	"F39"	"1986"	9
"Arina"	"F39"	"1986"	8
"SVP77076-38"	"F39"	"1986"	18
"SVP77076-1"	"F39"	"1986"	6
"Saiga"	"F39"	"1986"	4.5
"SVP77078-30"	"F39"	"1986"	9
"SVP72003-4-2-4"	"F39"	"1986"	23.5
"SVP77079-15"	"F39"	"1986"	27.5
"SVP75059-28"	"F39"	"1986"	11
"SVP73030-8-1-I"	"F39"	"1986"	60
"SVP73016-2-4"	"F39"	"1986"	47
"SVP73012-1-2-3"	"F39"	"1986"	67.5
"SVP75059-46"	"F39"	"1986"	25.5
"Nautica"	"F39"	"1986"	62.5
"SVP75059-32"	"F39"	"1986"	32.5
"SVP72005-20-3-1"	"F39"	"1986"	62.5
"SVP72017-17-5-10"	"F329"	"1986"	1.5
"SVP77076-4"	"F329"	"1986"	1
"Arina"	"F329"	"1986"	2.5
"SVP77076-38"	"F329"	"1986"	1
"SVP77076-1"	"F329"	"1986"	3
"Saiga"	"F329"	"1986"	7.5
"SVP77078-30"	"F329"	"1986"	13
"SVP72003-4-2-4"	"F329"	"1986"	4
"SVP77079-15"	"F329"	"1986"	4.5
"SVP75059-28"	"F329"	"1986"	3.5
"SVP73030-8-1-I"	"F329"	"1986"	7
"SVP73016-2-4"	"F329"	"1986"	18
"SVP73012-1-2-3"	"F329"	"1986"	16
"SVP75059-46"	"F329"	"1986"	5
"Nautica"	"F329"	"1986"	20.5
"SVP75059-32"	"F329"	"1986"	5
"SVP72005-20-3-1"	"F329"	"1986"	16.5
"SVP72017-17-5-10"	"F348"	"1986"	3
"SVP77076-4"	"F348"	"1986"	3
"Arina"	"F348"	"1986"	5
"SVP77076-38"	"F348"	"1986"	4.5
"SVP77076-1"	"F348"	"1986"	1
"Saiga"	"F348"	"1986"	4.5
"SVP77078-30"	"F348"	"1986"	1
"SVP72003-4-2-4"	"F348"	"1986"	9.5
"SVP77079-15"	"F348"	"1986"	2.5
"SVP75059-28"	"F348"	"1986"	3
"SVP73030-8-1-I"	"F348"	"1986"	7.5
"SVP73016-2-4"	"F348"	"1986"	14.5
"SVP73012-1-2-3"	"F348"	"1986"	17.5
"SVP75059-46"	"F348"	"1986"	5
"Nautica"	"F348"	"1986"	20
"SVP75059-32"	"F348"	"1986"	9
"SVP72005-20-3-1"	"F348"	"1986"	27.5
"SVP72017-17-5-10"	"F436"	"1986"	1.5
"SVP77076-4"	"F436"	"1986"	1.5
"Arina"	"F436"	"1986"	4
"SVP77076-38"	"F436"	"1986"	7
"SVP77076-1"	"F436"	"1986"	1.5
"Saiga"	"F436"	"1986"	9
"SVP77078-30"	"F436"	"1986"	2.5
"SVP72003-4-2-4"	"F436"	"1986"	3.5
"SVP77079-15"	"F436"	"1986"	8.5
"SVP75059-28"	"F436"	"1986"	1.5
"SVP73030-8-1-I"	"F436"	"1986"	9
"SVP73016-2-4"	"F436"	"1986"	22.5
"SVP73012-1-2-3"	"F436"	"1986"	17
"SVP75059-46"	"F436"	"1986"	10.5
"Nautica"	"F436"	"1986"	30.5
"SVP75059-32"	"F436"	"1986"	42.5
"SVP72005-20-3-1"	"F436"	"1986"	23
"SVP72017-17-5-10"	"F39"	"1987"	7.3
"SVP77076-4"	"F39"	"1987"	13.5
"Arina"	"F39"	"1987"	12
"SVP77076-38"	"F39"	"1987"	8.9
"SVP77076-1"	"F39"	"1987"	11.1
"Saiga"	"F39"	"1987"	15.5
"SVP77078-30"	"F39"	"1987"	17.8
"SVP72003-4-2-4"	"F39"	"1987"	16.3
"SVP77079-15"	"F39"	"1987"	35.2
"SVP75059-28"	"F39"	"1987"	54
"SVP73030-8-1-I"	"F39"	"1987"	36.3
"SVP73016-2-4"	"F39"	"1987"	44.1
"SVP73012-1-2-3"	"F39"	"1987"	34.2
"SVP75059-46"	"F39"	"1987"	69.3
"Nautica"	"F39"	"1987"	32.2
"SVP75059-32"	"F39"	"1987"	57.3
"SVP72005-20-3-1"	"F39"	"1987"	58.5
"SVP72017-17-5-10"	"F329"	"1987"	0.8
"SVP77076-4"	"F329"	"1987"	0.3
"Arina"	"F329"	"1987"	0.3
"SVP77076-38"	"F329"	"1987"	0.2
"SVP77076-1"	"F329"	"1987"	0.1
"Saiga"	"F329"	"1987"	1.1
"SVP77078-30"	"F329"	"1987"	0.6
"SVP72003-4-2-4"	"F329"	"1987"	0.7
"SVP77079-15"	"F329"	"1987"	1.9
"SVP75059-28"	"F329"	"1987"	1.2
"SVP73030-8-1-I"	"F329"	"1987"	3
"SVP73016-2-4"	"F329"	"1987"	5.4
"SVP73012-1-2-3"	"F329"	"1987"	7
"SVP75059-46"	"F329"	"1987"	5
"Nautica"	"F329"	"1987"	1.3
"SVP75059-32"	"F329"	"1987"	5.2
"SVP72005-20-3-1"	"F329"	"1987"	3.7
"SVP72017-17-5-10"	"F348"	"1987"	0.5
"SVP77076-4"	"F348"	"1987"	0.1
"Arina"	"F348"	"1987"	0.1
"SVP77076-38"	"F348"	"1987"	0.1
"SVP77076-1"	"F348"	"1987"	0.4
"Saiga"	"F348"	"1987"	0.3
"SVP77078-30"	"F348"	"1987"	0.4
"SVP72003-4-2-4"	"F348"	"1987"	0.4
"SVP77079-15"	"F348"	"1987"	0.5
"SVP75059-28"	"F348"	"1987"	1.2
"SVP73030-8-1-I"	"F348"	"1987"	5
"SVP73016-2-4"	"F348"	"1987"	3.5
"SVP73012-1-2-3"	"F348"	"1987"	2.5
"SVP75059-46"	"F348"	"1987"	1.7
"Nautica"	"F348"	"1987"	0.8
"SVP75059-32"	"F348"	"1987"	4.3
"SVP72005-20-3-1"	"F348"	"1987"	2.7
"SVP72017-17-5-10"	"F436"	"1987"	2.1
"SVP77076-4"	"F436"	"1987"	0.2
"Arina"	"F436"	"1987"	2.8
"SVP77076-38"	"F436"	"1987"	0.7
"SVP77076-1"	"F436"	"1987"	2.7
"Saiga"	"F436"	"1987"	1.7
"SVP77078-30"	"F436"	"1987"	8.4
"SVP72003-4-2-4"	"F436"	"1987"	1.4
"SVP77079-15"	"F436"	"1987"	5.8
"SVP75059-28"	"F436"	"1987"	19.3
"SVP73030-8-1-I"	"F436"	"1987"	7.5
"SVP73016-2-4"	"F436"	"1987"	11.6
"SVP73012-1-2-3"	"F436"	"1987"	9.3
"SVP75059-46"	"F436"	"1987"	13.2
"Nautica"	"F436"	"1987"	4.8
"SVP75059-32"	"F436"	"1987"	30.5
"SVP72005-20-3-1"	"F436"	"1987"	21.7
"SVP72017-17-5-10"	"F39"	"1988"	5.3
"SVP77076-4"	"F39"	"1988"	7
"Arina"	"F39"	"1988"	6.3
"SVP77076-38"	"F39"	"1988"	2
"SVP77076-1"	"F39"	"1988"	7
"Saiga"	"F39"	"1988"	9.3
"SVP77078-30"	"F39"	"1988"	15.7
"SVP72003-4-2-4"	"F39"	"1988"	5
"SVP77079-15"	"F39"	"1988"	3.3
"SVP75059-28"	"F39"	"1988"	4
"SVP73030-8-1-I"	"F39"	"1988"	13
"SVP73016-2-4"	"F39"	"1988"	6.7
"SVP73012-1-2-3"	"F39"	"1988"	11
"SVP75059-46"	"F39"	"1988"	30
"Nautica"	"F39"	"1988"	40
"SVP75059-32"	"F39"	"1988"	37.7
"SVP72005-20-3-1"	"F39"	"1988"	36.7
"SVP72017-17-5-10"	"F329"	"1988"	2.7
"SVP77076-4"	"F329"	"1988"	1.7
"Arina"	"F329"	"1988"	1
"SVP77076-38"	"F329"	"1988"	2.3
"SVP77076-1"	"F329"	"1988"	4.7
"Saiga"	"F329"	"1988"	9.7
"SVP77078-30"	"F329"	"1988"	5.3
"SVP72003-4-2-4"	"F329"	"1988"	6.3
"SVP77079-15"	"F329"	"1988"	6.3
"SVP75059-28"	"F329"	"1988"	2.7
"SVP73030-8-1-I"	"F329"	"1988"	4.7
"SVP73016-2-4"	"F329"	"1988"	12.5
"SVP73012-1-2-3"	"F329"	"1988"	9
"SVP75059-46"	"F329"	"1988"	22.3
"Nautica"	"F329"	"1988"	25
"SVP75059-32"	"F329"	"1988"	14.7
"SVP72005-20-3-1"	"F329"	"1988"	26.3
"SVP72017-17-5-10"	"F348"	"1988"	2
"SVP77076-4"	"F348"	"1988"	3.3
"Arina"	"F348"	"1988"	2
"SVP77076-38"	"F348"	"1988"	1.3
"SVP77076-1"	"F348"	"1988"	5
"Saiga"	"F348"	"1988"	6
"SVP77078-30"	"F348"	"1988"	3.3
"SVP72003-4-2-4"	"F348"	"1988"	7.3
"SVP77079-15"	"F348"	"1988"	4
"SVP75059-28"	"F348"	"1988"	1.3
"SVP73030-8-1-I"	"F348"	"1988"	5
"SVP73016-2-4"	"F348"	"1988"	3.3
"SVP73012-1-2-3"	"F348"	"1988"	6
"SVP75059-46"	"F348"	"1988"	20
"Nautica"	"F348"	"1988"	18
"SVP75059-32"	"F348"	"1988"	28.3
"SVP72005-20-3-1"	"F348"	"1988"	13.3
"SVP72017-17-5-10"	"F436"	"1988"	2.7
"SVP77076-4"	"F436"	"1988"	3.7
"Arina"	"F436"	"1988"	3.3
"SVP77076-38"	"F436"	"1988"	1.7
"SVP77076-1"	"F436"	"1988"	8.3
"Saiga"	"F436"	"1988"	11.7
"SVP77078-30"	"F436"	"1988"	4.7
"SVP72003-4-2-4"	"F436"	"1988"	13.7
"SVP77079-15"	"F436"	"1988"	8.3
"SVP75059-28"	"F436"	"1988"	6.3
"SVP73030-8-1-I"	"F436"	"1988"	5.7
"SVP73016-2-4"	"F436"	"1988"	4
"SVP73012-1-2-3"	"F436"	"1988"	25.7
"SVP75059-46"	"F436"	"1988"	20.3
"Nautica"	"F436"	"1988"	20.3
"SVP75059-32"	"F436"	"1988"	31
"SVP72005-20-3-1"	"F436"	"1988"	20.3
