"isle"	"site"	"block"	"plot"	"trt"	"ears"	"yield"
"Antigua"	"DBAN"	"B1"	1	"T111"	42	4.96
"Antigua"	"DBAN"	"B1"	2	"T000"	41	3.94
"Antigua"	"DBAN"	"B1"	3	"T311"	49	6.35
"Antigua"	"DBAN"	"B1"	4	"T202"	48	5.56
"Antigua"	"DBAN"	"B1"	5	"T111"	45	5.36
"Antigua"	"DBAN"	"B1"	6	"T220"	46	6.18
"Antigua"	"DBAN"	"B1"	7	"T113"	42	4.71
"Antigua"	"DBAN"	"B1"	8	"T131"	44	6.03
"Antigua"	"DBAN"	"B1"	9	"T022"	42	2.88
"Antigua"	"DBAN"	"B2"	10	"T222"	44	5.68
"Antigua"	"DBAN"	"B2"	11	"T311"	42	5.8
"Antigua"	"DBAN"	"B2"	12	"T020"	42	4.16
"Antigua"	"DBAN"	"B2"	13	"T200"	46	4.9
"Antigua"	"DBAN"	"B2"	14	"T111"	44	5.25
"Antigua"	"DBAN"	"B2"	15	"T131"	48	5.8
"Antigua"	"DBAN"	"B2"	16	"T002"	46	2.18
"Antigua"	"DBAN"	"B2"	17	"T111"	48	4.36
"Antigua"	"DBAN"	"B2"	18	"T113"	45	4.36
"Antigua"	"DBAN"	"B3"	19	"T131"	43	4.81
"Antigua"	"DBAN"	"B3"	20	"T111"	47	5.19
"Antigua"	"DBAN"	"B3"	21	"T311"	47	5.96
"Antigua"	"DBAN"	"B3"	22	"T000"	45	3.88
"Antigua"	"DBAN"	"B3"	23	"T220"	50	5.72
"Antigua"	"DBAN"	"B3"	24	"T022"	44	2.51
"Antigua"	"DBAN"	"B3"	25	"T111"	47	4.94
"Antigua"	"DBAN"	"B3"	26	"T113"	44	3.7
"Antigua"	"DBAN"	"B3"	27	"T202"	40	2.77
"Antigua"	"DBAN"	"B4"	28	"T111"	41	4.34
"Antigua"	"DBAN"	"B4"	29	"T200"	45	4.33
"Antigua"	"DBAN"	"B4"	30	"T111"	41	4.68
"Antigua"	"DBAN"	"B4"	31	"T113"	46	4.76
"Antigua"	"DBAN"	"B4"	32	"T131"	47	5.24
"Antigua"	"DBAN"	"B4"	33	"T020"	42	1.86
"Antigua"	"DBAN"	"B4"	34	"T222"	41	3.84
"Antigua"	"DBAN"	"B4"	35	"T002"	41	1.36
"Antigua"	"DBAN"	"B4"	36	"T311"	36	3.98
"Antigua"	"LFAN"	"B1"	1	"T111"	37	2.92
"Antigua"	"LFAN"	"B1"	2	"T022"	36	1.68
"Antigua"	"LFAN"	"B1"	3	"T113"	42	4.5
"Antigua"	"LFAN"	"B1"	4	"T220"	41	4.74
"Antigua"	"LFAN"	"B1"	5	"T202"	40	4.44
"Antigua"	"LFAN"	"B1"	6	"T311"	44	4.66
"Antigua"	"LFAN"	"B1"	7	"T111"	44	2.94
"Antigua"	"LFAN"	"B1"	8	"T000"	44	1.6
"Antigua"	"LFAN"	"B1"	9	"T131"	38	1.82
"Antigua"	"LFAN"	"B2"	10	"T113"	39	4.44
"Antigua"	"LFAN"	"B2"	11	"T222"	40	5.78
"Antigua"	"LFAN"	"B2"	12	"T311"	46	6.24
"Antigua"	"LFAN"	"B2"	13	"T111"	47	5.4
"Antigua"	"LFAN"	"B2"	14	"T200"	46	5.62
"Antigua"	"LFAN"	"B2"	15	"T002"	35	1.72
"Antigua"	"LFAN"	"B2"	16	"T131"	43	4.42
"Antigua"	"LFAN"	"B2"	17	"T111"	46	4.14
"Antigua"	"LFAN"	"B2"	18	"T020"	40	3.94
"Antigua"	"LFAN"	"B3"	19	"T220"	41	5
"Antigua"	"LFAN"	"B3"	20	"T202"	46	5.26
"Antigua"	"LFAN"	"B3"	21	"T000"	36	2.9
"Antigua"	"LFAN"	"B3"	22	"T111"	43	4.94
"Antigua"	"LFAN"	"B3"	23	"T113"	45	4.43
"Antigua"	"LFAN"	"B3"	24	"T311"	47	5.42
"Antigua"	"LFAN"	"B3"	25	"T022"	34	1.22
"Antigua"	"LFAN"	"B3"	26	"T111"	42	3.72
"Antigua"	"LFAN"	"B3"	27	"T131"	41	3.7
"Antigua"	"LFAN"	"B4"	28	"T131"	46	5.61
"Antigua"	"LFAN"	"B4"	29	"T111"	45	6.02
"Antigua"	"LFAN"	"B4"	30	"T020"	45	3.18
"Antigua"	"LFAN"	"B4"	31	"T311"	47	6.07
"Antigua"	"LFAN"	"B4"	32	"T002"	38	1.48
"Antigua"	"LFAN"	"B4"	33	"T222"	47	5.94
"Antigua"	"LFAN"	"B4"	34	"T111"	42	3.58
"Antigua"	"LFAN"	"B4"	35	"T200"	39	3.95
"Antigua"	"LFAN"	"B4"	36	"T113"	44	3.38
"Antigua"	"TEAN"	"B1"	1	"T113"	32	1.27
"Antigua"	"TEAN"	"B1"	2	"T111"	29	2.1
"Antigua"	"TEAN"	"B1"	3	"T022"	46	2.37
"Antigua"	"TEAN"	"B1"	4	"T202"	28	2.08
"Antigua"	"TEAN"	"B1"	5	"T000"	31	1.74
"Antigua"	"TEAN"	"B1"	6	"T131"	39	3.16
"Antigua"	"TEAN"	"B1"	7	"T220"	42	4.55
"Antigua"	"TEAN"	"B1"	8	"T111"	36	3.2
"Antigua"	"TEAN"	"B1"	9	"T311"	35	3.69
"Antigua"	"TEAN"	"B2"	10	"T200"	28	1.52
"Antigua"	"TEAN"	"B2"	11	"T311"	30	2.02
"Antigua"	"TEAN"	"B2"	12	"T222"	29	1.97
"Antigua"	"TEAN"	"B2"	13	"T020"	29	1.94
"Antigua"	"TEAN"	"B2"	14	"T131"	30	2.01
