"row"	"col"	"yield"
1	1	226
2	1	236
3	1	224
4	1	240
5	1	216
6	1	224
7	1	236
8	1	198
9	1	202
10	1	210
11	1	234
12	1	222
13	1	182
14	1	294
15	1	230
16	1	244
17	1	188
18	1	204
19	1	212
20	1	201
21	1	202
22	1	172
23	1	274
24	1	184
25	1	232
26	1	182
27	1	194
28	1	166
29	1	206
30	1	196
31	1	193
32	1	204
33	1	185
34	1	200
35	1	208
36	1	185
37	1	210
38	1	164
39	1	182
40	1	243
41	1	212
42	1	196
43	1	192
44	1	203
45	1	174
46	1	216
47	1	178
48	1	229
49	1	242
50	1	193
51	1	246
52	1	216
53	1	165
54	1	203
55	1	200
56	1	193
57	1	220
58	1	212
59	1	227
60	1	177
61	1	175
62	1	148
63	1	165
64	1	206
65	1	216
66	1	184
67	1	234
68	1	186
69	1	179
70	1	214
71	1	205
72	1	165
73	1	158
74	1	189
75	1	190
76	1	193
77	1	165
78	1	156
79	1	170
80	1	144
81	1	164
82	1	180
83	1	153
84	1	154
85	1	153
86	1	126
87	1	180
88	1	152
89	1	161
90	1	144
91	1	183
92	1	158
93	1	161
94	1	183
95	1	172
96	1	180
97	1	176
98	1	208
99	1	187
100	1	278
1	2	222
2	2	178
3	2	202
4	2	196
5	2	233
6	2	222
7	2	272
8	2	177
9	2	174
10	2	190
11	2	180
12	2	166
13	2	204
14	2	200
15	2	228
16	2	198
17	2	172
18	2	167
19	2	232
20	2	176
21	2	166
22	2	180
23	2	166
24	2	144
25	2	178
26	2	184
27	2	196
28	2	182
29	2	126
30	2	140
31	2	200
32	2	148
33	2	186
34	2	208
35	2	170
36	2	150
37	2	180
38	2	188
39	2	185
40	2	214
41	2	165
42	2	206
43	2	209
44	2	191
45	2	175
46	2	192
47	2	159
48	2	197
49	2	185
50	2	172
51	2	131
52	2	185
53	2	153
54	2	167
55	2	217
56	2	229
57	2	249
58	2	202
59	2	234
60	2	154
61	2	252
62	2	167
63	2	227
64	2	160
65	2	182
66	2	203
67	2	213
68	2	156
69	2	176
70	2	187
71	2	180
72	2	170
73	2	179
74	2	159
75	2	203
76	2	141
77	2	126
78	2	144
79	2	132
80	2	145
81	2	152
82	2	153
83	2	180
84	2	193
85	2	205
86	2	148
87	2	144
88	2	147
89	2	139
90	2	146
91	2	203
92	2	150
93	2	176
94	2	207
95	2	165
96	2	132
97	2	214
98	2	170
99	2	221
100	2	180
1	3	236
2	3	204
3	3	210
4	3	264
5	3	214
6	3	198
7	3	270
8	3	228
9	3	210
10	3	200
11	3	168
12	3	214
