gen	env	amylase	diapow	hddate	lodging	malt	height	protein	yield
Steptoe	MN92	22.7	46	149.5	NA	73.6	84.5	10.5	5.5315
Steptoe	MTi92	30.1	72	178	10	76.5	NA	11.2	8.6403
Steptoe	MTd92	26.7	78	165	15	74.5	75.5	13.4	5.899
Steptoe	ID91	26.2	74	179	NA	74.1	111	12.1	8.629
Steptoe	OR91	19.6	62	191	NA	71.5	90	11.7	5.344
Steptoe	WA91	23.6	54	181	NA	73.8	112	10	6.27
Steptoe	MTi91	21	62	181	NA	70.8	98	12	4.099
Steptoe	MTd91	NA	NA	181	NA	NA	82	NA	7.066
Steptoe	NY92	NA	NA	176	0	NA	77.5	NA	6.053
Steptoe	ON92	NA	NA	198	50	NA	95	NA	3.7048
Steptoe	WA92	22.3	50	217	NA	73.1	NA	9.2	4.1005
Steptoe	MA92	NA	NA	193.5	40	NA	78	NA	6.4311
Steptoe	SKo92	NA	NA	187	40	NA	103	NA	8.8055
Steptoe	SKg92	NA	NA	198	NA	NA	41	NA	3.0352
Steptoe	SKk92	NA	NA	192	NA	NA	60	NA	4.8419
Steptoe	ID92	24.1	71	186	NA	71.8	91.4	12.5	7.1101
Morex	MN92	38.1	118	150	NA	78.4	97	14	4.1305
Morex	MTi92	47.6	141	176	10	80.5	NA	12.6	4.176
Morex	MTd92	36.2	138	163.5	70	76.7	90.5	14.5	3.7141
Morex	ID91	36.2	97	180	NA	76.7	116	14.8	7.951
Morex	OR91	35.8	147	189	NA	77.5	110	15.3	8.329
Morex	WA91	37.5	128	182	NA	77.3	133	13.2	5.969
Morex	MTi91	39	140	183	NA	76.3	100	14.1	1.738
Morex	MTd91	NA	NA	184	NA	NA	97	NA	4.666
Morex	NY92	NA	NA	176.5	0	NA	95	NA	5.495
Morex	ON92	NA	NA	200	0	NA	110	NA	3.1425
Morex	WA92	35.6	100	215.5	NA	78.7	NA	10	3.256
Morex	MA92	NA	NA	197	40	NA	94.5	NA	7.5055
Morex	SKo92	NA	NA	188	30	NA	123	NA	8.7099
Morex	SKg92	NA	NA	198	NA	NA	69	NA	4.1118
Morex	SKk92	NA	NA	196	NA	NA	87	NA	5.2272
Morex	ID92	38.9	187	187	NA	74.5	96.5	15.2	5.0401
SM1	MN92	37.4	95	156.5	NA	72.6	113.5	16.3	4.61
SM1	MTi92	31.2	77	174	80	76.2	120	12.6	6.58
SM1	MTd92	25.6	68	167	25	75.8	98.5	15.2	5.226
SM1	ID91	32.8	83	183	NA	74.4	116.8	14.3	6.095
SM1	OR91	21.7	54	189	NA	73.7	100	13.4	6.287
SM1	WA91	30.3	63	181	NA	74.4	146	11.8	4.389
SM1	MTi91	24.3	75	183	NA	72.9	120	13	5.07
SM1	MTd91	NA	NA	184	NA	NA	93	NA	2.499
SM1	NY92	NA	NA	178	5	NA	85	NA	6.829
SM1	ON92	NA	NA	199	80	NA	100	NA	2.56
SM1	WA92	28.9	58	159	NA	74.8	80	11.1	3.878
SM1	MA92	NA	NA	200	60	NA	105.5	NA	7.232
SM1	SKo92	NA	NA	191	50	NA	109	NA	9.2048
SM1	SKg92	NA	NA	191	NA	NA	65	NA	3.8938
