"row"	"col"	"yield"
1	1	235
2	1	348
3	1	NA
4	1	306
5	1	345
6	1	275
7	1	296
8	1	273
9	1	315
10	1	283
11	1	322
12	1	339
13	1	340
14	1	332
15	1	414
16	1	157
17	1	447
18	1	482
1	2	273
2	2	351
3	2	322
4	2	267
5	2	276
6	2	256
7	2	248
8	2	268
9	2	291
10	2	223
11	2	243
12	2	323
13	2	257
14	2	315
15	2	320
16	2	267
17	2	359
18	2	289
1	3	281
2	3	212
3	3	274
4	3	288
5	3	323
6	3	330
7	3	201
8	3	179
9	3	230
10	3	260
11	3	214
12	3	308
13	3	NA
14	3	NA
15	3	337
16	3	257
17	3	341
18	3	210
1	4	240
2	4	331
3	4	224
4	4	229
5	4	130
6	4	230
7	4	227
8	4	270
9	4	258
10	4	250
11	4	263
12	4	253
13	4	197
14	4	NA
15	4	317
16	4	244
17	4	233
18	4	248
1	5	272
2	5	288
3	5	287
4	5	232
5	5	216
6	5	227
7	5	205
8	5	213
9	5	240
10	5	216
11	5	224
12	5	286
13	5	237
14	5	313
15	5	336
16	5	187
17	5	258
18	5	221
1	6	288
2	6	270
3	6	242
4	6	202
5	6	248
6	6	239
7	6	135
8	6	239
9	6	182
10	6	276
11	6	295
12	6	267
13	6	217
14	6	NA
15	6	279
16	6	167
17	6	193
18	6	335
1	7	299
2	7	212
3	7	238
4	7	187
5	7	258
6	7	189
7	7	173
8	7	118
9	7	250
10	7	183
11	7	300
12	7	259
13	7	212
14	7	218
15	7	309
16	7	159
17	7	215
18	7	234
1	8	255
2	8	276
3	8	195
4	8	217
5	8	191
6	8	200
7	8	236
8	8	187
9	8	191
10	8	212
11	8	307
12	8	310
13	8	NA
14	8	NA
15	8	241
16	8	194
17	8	242
18	8	139
1	9	264
2	9	231
3	9	207
4	9	174
5	9	145
6	9	230
7	9	240
8	9	214
9	9	183
10	9	245
11	9	NA
12	9	278
13	9	285
14	9	219
15	9	366
16	9	207
17	9	290
18	9	192
1	10	225
2	10	NA
3	10	226
4	10	186
5	10	252
6	10	255
7	10	166
8	10	220
9	10	153
10	10	239
11	10	279
12	10	234
13	10	292
14	10	NA
15	10	NA
16	10	222
17	10	311
18	10	311
1	11	279
2	11	247
3	11	152
4	11	197
5	11	215
6	11	276
7	11	182
8	11	200
9	11	188
10	11	245
11	11	201
12	11	242
13	11	221
14	11	246
15	11	262
16	11	271
17	11	227
18	11	203
