"row"	"col"	"yield"
1	1	5.5
2	1	5.5
3	1	2.5
4	1	5.5
5	1	2.5
6	1	3.5
7	1	4.5
8	1	4.5
9	1	2.5
10	1	4.5
11	1	3.5
12	1	5.5
13	1	3.5
14	1	NA
15	1	3
16	1	5
17	1	4.5
18	1	3.5
19	1	1.5
20	1	4.5
21	1	NA
22	1	NA
23	1	NA
24	1	3.5
25	1	3
26	1	5.5
27	1	NA
28	1	NA
29	1	5.5
30	1	3.5
31	1	1.5
1	2	4.5
2	2	6.5
3	2	5
4	2	5.5
5	2	3.5
6	2	7.5
7	2	6.5
8	2	3.5
9	2	8.5
10	2	4.5
11	2	5.5
12	2	3.5
13	2	8.5
14	2	NA
15	2	5.5
16	2	5.5
17	2	4
18	2	3.5
19	2	2
20	2	6.5
21	2	NA
22	2	NA
23	2	NA
24	2	3.5
25	2	9.5
26	2	6.5
27	2	NA
28	2	NA
29	2	7.5
30	2	5.5
31	2	6.5
1	3	5.5
2	3	4.5
3	3	6
4	3	2.5
5	3	5.5
6	3	8.5
7	3	4
8	3	4.5
9	3	5
10	3	7.5
11	3	2.5
12	3	6
13	3	9.5
14	3	NA
15	3	4.5
16	3	4.5
17	3	4.5
18	3	2.5
19	3	6.5
20	3	2.5
21	3	NA
22	3	NA
23	3	NA
24	3	6.5
25	3	6.5
26	3	7
27	3	NA
28	3	NA
29	3	7.5
30	3	1.5
31	3	5.5
1	4	7
2	4	7.5
3	4	5.5
4	4	5.5
5	4	6
6	4	7.5
7	4	5.5
8	4	6
9	4	10.5
10	4	4.5
11	4	7.5
12	4	5.5
13	4	4.5
14	4	NA
15	4	4
16	4	5.5
17	4	7.5
18	4	5.5
19	4	6.5
20	4	5.5
21	4	NA
22	4	NA
23	4	NA
24	4	6.5
25	4	5.5
26	4	6.5
27	4	NA
28	4	NA
29	4	5.5
30	4	6.5
31	4	8
1	5	6.5
2	5	4
3	5	4
4	5	7.5
5	5	4.5
6	5	16.5
7	5	11.5
8	5	10
9	5	9.5
10	5	8.5
11	5	8.5
12	5	11.5
13	5	3
14	5	NA
15	5	7
16	5	11
17	5	9
18	5	6.5
19	5	12.5
20	5	6.5
21	5	NA
22	5	NA
23	5	NA
24	5	11.5
25	5	13.5
26	5	10
27	5	NA
28	5	NA
29	5	9.5
30	5	7.5
31	5	9
