"row"	"col"	"yield"
1	1	85
2	1	72
3	1	119
4	1	116
5	1	140
6	1	91
7	1	75
8	1	98
9	1	141
10	1	108
11	1	75
12	1	66
13	1	45
14	1	115
15	1	82
16	1	153
17	1	156
18	1	175
1	2	142
2	2	165
3	2	144
4	2	171
5	2	116
6	2	140
7	2	143
8	2	81
9	2	127
10	2	117
11	2	152
12	2	32
13	2	82
14	2	126
15	2	35
16	2	83
17	2	113
18	2	189
1	3	181
2	3	179
3	3	109
4	3	151
5	3	117
6	3	130
7	3	138
8	3	115
9	3	146
10	3	111
11	3	138
12	3	83
13	3	77
14	3	125
15	3	101
16	3	96
17	3	138
18	3	134
1	4	146
2	4	169
3	4	178
4	4	130
5	4	142
6	4	50
7	4	110
8	4	165
9	4	116
10	4	118
11	4	151
12	4	124
13	4	119
14	4	68
15	4	128
16	4	84
17	4	142
18	4	111
1	5	190
2	5	206
3	5	193
4	5	216
5	5	94
6	5	87
7	5	118
8	5	140
9	5	170
10	5	136
11	5	129
12	5	116
13	5	141
14	5	166
15	5	134
16	5	152
17	5	103
18	5	184
1	6	173
2	6	195
3	6	213
4	6	38
5	6	194
6	6	151
7	6	111
8	6	135
9	6	187
10	6	182
11	6	170
12	6	100
13	6	99
14	6	126
15	6	132
16	6	85
17	6	153
18	6	84
1	7	190
2	7	199
3	7	178
4	7	164
5	7	134
6	7	158
7	7	149
8	7	203
9	7	118
10	7	168
11	7	114
12	7	112
13	7	78
14	7	51
15	7	143
16	7	74
17	7	183
18	7	185
1	8	152
2	8	189
3	8	89
4	8	187
5	8	169
6	8	119
7	8	148
8	8	160
9	8	141
10	8	121
11	8	131
12	8	106
13	8	93
14	8	45
15	8	119
16	8	186
17	8	177
18	8	180
