"row"	"col"	"yield"
1	1	48
2	1	61
3	1	69
4	1	59
5	1	71
6	1	46
1	2	40
2	2	64
3	2	52
4	2	49
5	2	70
6	2	48
1	3	45
2	3	70
3	3	64
4	3	61
5	3	56
6	3	64
1	4	52
2	4	56
3	4	61
4	4	59
5	4	52
6	4	53
1	5	47
2	5	53
3	5	47
4	5	50
5	5	46
6	5	42
1	6	56
2	6	48
3	6	33
4	6	38
5	6	41
6	6	41
1	7	52
2	7	53
3	7	52
4	7	47
5	7	46
6	7	37
1	8	57
2	8	56
3	8	46
4	8	52
5	8	42
6	8	42
1	9	58
2	9	59
3	9	48
4	9	49
5	9	57
6	9	45
1	10	56
2	10	40
3	10	56
4	10	62
5	10	52
6	10	42
1	11	43
2	11	43
3	11	46
4	11	39
5	11	51
6	11	43
1	12	43
2	12	53
3	12	52
4	12	37
5	12	48
6	12	56
1	13	36
2	13	43
3	13	86
4	13	59
5	13	55
6	13	59
1	14	47
2	14	42
3	14	79
4	14	71
5	14	64
6	14	52
1	15	44
2	15	53
3	15	62
4	15	70
5	15	73
6	15	59
1	16	49
2	16	64
3	16	73
4	16	68
5	16	51
6	16	47
1	17	56
2	17	51
3	17	52
4	17	51
5	17	62
6	17	69
1	18	51
2	18	38
3	18	60
4	18	58
5	18	68
6	18	49
1	19	38
2	19	54
3	19	46
4	19	64
5	19	70
6	19	54
1	20	39
2	20	56
3	20	60
4	20	46
5	20	42
6	20	47
1	21	36
2	21	44
3	21	77
4	21	51
5	21	52
6	21	59
1	22	54
2	22	36
3	22	65
4	22	54
5	22	50
6	22	44
1	23	51
2	23	42
3	23	40
4	23	40
5	23	29
6	23	44
1	24	38
2	24	31
3	24	29
4	24	34
5	24	29
6	24	38
1	25	41
2	25	38
3	25	38
4	25	42
5	25	42
6	25	32
1	26	38
2	26	42
3	26	38
4	26	51
5	26	55
6	26	52
1	27	37
2	27	36
3	27	52
4	27	43
5	27	54
6	27	64
1	28	45
2	28	35
3	28	46
4	28	55
5	28	47
6	28	58
1	29	43
2	29	36
3	29	50
4	29	54
5	29	47
6	29	50
1	30	47
2	30	44
3	30	53
4	30	54
5	30	49
6	30	51
