gen	rep	yield	x	y
Lancer	NA	NA	1	1
Lancer	NA	NA	2	1
Lancer	NA	NA	3	1
Lancer	NA	NA	4	1
Lancer	NA	NA	5	1
Lancer	NA	NA	6	1
Lancer	NA	NA	7	1
Lancer	NA	NA	8	1
Lancer	NA	NA	9	1
Lancer	NA	NA	10	1
Lancer	NA	NA	11	1
Lancer	NA	NA	12	1
Lancer	NA	NA	13	1
Lancer	NA	NA	14	1
Lancer	NA	NA	15	1
Lancer	R1	29.25	16	1
Brule	R1	31.55	17	1
Redland	R1	35.05	18	1
Cody	R1	30.1	19	1
Arapahoe	R1	33.05	20	1
NE83404	R1	30.25	21	1
NE83406	R1	35.2	22	1
NE83407	R1	19.4	1	2
Centura	R1	24.35	2	2
Scout66	R1	25.55	3	2
Colt	R1	25.1	4	2
NE83498	R1	24.6	5	2
NE84557	R1	25.45	6	2
NE83432	R1	13.4	7	2
NE85556	R1	31.65	8	2
NE85623	R1	25.65	9	2
Centurk78	R1	31.6	10	2
Norkan	R1	22.3	11	2
KS831374	R1	34.2	12	2
TAM200	R1	21.1	13	2
NE86482	R1	28	14	2
Homestead	R1	28.3	15	2
Lancota	R1	25.7	16	2
NE86501	R1	31.75	17	2
NE86503	R1	42	18	2
NE86507	R1	30.9	19	2
NE86509	R1	32.9	20	2
TAM107	R1	24.05	21	2
Cheyenne	R1	28.2	22	2
Buckskin	R1	29.85	1	3
NE86527	R1	29	2	3
NE86582	R1	20.9	3	3
NE86606	R1	26.3	4	3
NE86607	R1	25.85	5	3
Roughrider	R1	23.95	6	3
Vona	R1	25.3	7	3
Siouxland	R1	27.1	8	3
Gage	R1	25.65	9	3
NE83T12	R1	25.2	10	3
NE86T666	R1	18.4	11	3
NE87403	R1	21.85	12	3
NE87408	R1	27	13	3
NE87409	R1	31.55	14	3
NE87446	R1	30.5	15	3
NE87451	R1	31.95	16	3
NE87457	R1	30.55	17	3
NE87463	R1	27.25	18	3
NE87499	R1	29.9	19	3
NE87512	R1	32.8	20	3
NE87513	R1	27.85	21	3
NE87522	R1	24.3	22	3
NE87612	R1	28.15	1	4
NE87613	R1	26.95	2	4
NE87615	R1	25.1	3	4
NE87619	R1	30.25	4	4
NE87627	R1	20.15	5	4
Lancer	NA	NA	6	4
Centura	R2	27.8	7	4
NE85623	R2	28.45	8	4
Cody	R2	22.75	9	4
NE86582	R2	26.7	10	4
NE87408	R2	25.65	11	4
NE87451	R2	27.45	12	4
NE83432	R2	31	13	4
Centurk78	R2	24.9	14	4
NE83T12	R2	25.65	15	4
NE87409	R2	32.4	16	4
NE87513	R2	31.2	17	4
NE87627	R2	27.6	18	4
Arapahoe	R2	34.65	19	4
Lancer	R2	28.5	20	4
TAM107	R2	29.45	21	4
Redland	R2	30.55	22	4
Vona	R2	26.8	1	5
NE87463	R2	23.85	2	5
NE86507	R2	27.4	3	5
Buckskin	R2	30.1	4	5
Roughrider	R2	24.75	5	5
NE86527	R2	25.35	6	5
Scout66	R2	26	7	5
NE86509	R2	25	8	5
NE86606	R2	29.35	9	5
NE84557	R2	28.6	10	5
KS831374	R2	26.7	11	5
Gage	R2	25.25	12	5
NE87619	R2	33.75	13	5
NE87499	R2	22.3	14	5
Cheyenne	R2	28.05	15	5
NE86607	R2	34.55	16	5
NE83498	R2	37.4	17	5
NE83404	R2	29	18	5
NE87446	R2	31.2	19	5
Siouxland	R2	37.1	20	5
Homestead	R2	29.5	21	5
NE86501	R2	31.35	22	5
NE87512	R2	20.2	1	6
NE83407	R2	26.4	2	6
NE87403	R2	25.65	3	6
NE87457	R2	31.9	4	6
NE83406	R2	31.05	5	6
Colt	R2	30.75	6	6
NE87522	R2	27.15	7	6
Norkan	R2	30.3	8	6
NE87615	R2	31.7	9	6
NE85556	R2	30.5	10	6
TAM200	R2	24.35	11	6
Lancota	R2	26.1	12	6
NE86503	R2	29.95	13	6
NE86482	R2	32.8	14	6
Brule	R2	28.15	15	6
NE87612	R2	32.7	16	6
NE87613	R2	36.9	17	6
NE86T666	R2	18.4	18	6
Lancer	NA	NA	19	6
NE86607	R3	31.15	20	6
Lancota	R3	26.95	21	6
NE87513	R3	30.8	22	6
NE87408	R3	21.9	1	7
NE83407	R3	29.6	2	7
Norkan	R3	24.25	3	7
Redland	R3	27.1	4	7
KS831374	R3	21.05	5	7
Colt	R3	23.95	6	7
NE86527	R3	27.3	7	7
Vona	R3	30	8	7
TAM107	R3	34.5	9	7
Centurk78	R3	33.1	10	7
NE87627	R3	28.2	11	7
NE86T666	R3	25.8	12	7
NE87615	R3	33.95	13	7
NE86501	R3	30.35	14	7
NE87522	R3	18.9	15	7
Cheyenne	R3	33.9	16	7
Siouxland	R3	33.75	17	7
NE87451	R3	33.95	18	7
Gage	R3	25	19	7
Lancer	R3	28.1	20	7
NE87446	R3	25	21	7
NE86482	R3	30.3	22	7
Cody	R3	16.85	1	8
NE87612	R3	17.1	2	8
NE87457	R3	9.55	3	8
NE84557	R3	1.5	4	8
NE83T12	R3	12.75	5	8
NE86507	R3	22.15	6	8
TAM200	R3	19.2	7	8
NE87613	R3	23.55	8	8
Arapahoe	R3	25.05	9	8
Scout66	R3	33.25	10	8
NE87403	R3	24	11	8
NE85623	R3	31.75	12	8
NE86509	R3	24.05	13	8
NE85556	R3	38.45	14	8
Homestead	R3	25.85	15	8
NE83404	R3	32.8	16	8
NE86503	R3	35.1	17	8
NE86582	R3	31.05	18	8
NE87619	R3	33.15	19	8
NE87463	R3	29	20	8
NE86606	R3	32.15	21	8
Brule	R3	40.9	22	8
Buckskin	R3	18	1	9
NE83406	R3	2.15	2	9
NE87409	R3	3.75	3	9
NE87499	R3	2.95	4	9
Centura	R3	8.7	5	9
NE83432	R3	11.05	6	9
NE87512	R3	12.35	7	9
Roughrider	R3	22.45	8	9
NE83498	R3	26.9	9	9
