"col"	"row"	"yield"	"range"	"year"	"crop"
1	1	5984	"R2"	1922	"maize"
2	1	6248	"R2"	1922	"maize"
3	1	6111	"R2"	1922	"maize"
4	1	5758	"R2"	1922	"maize"
5	1	5713	"R2"	1922	"maize"
6	1	5655	"R2"	1922	"maize"
7	1	5771	"R2"	1922	"maize"
8	1	5833	"R2"	1922	"maize"
9	1	5978	"R2"	1922	"maize"
10	1	6108	"R2"	1922	"maize"
11	1	6236	"R2"	1922	"maize"
12	1	6184	"R2"	1922	"maize"
13	1	6336	"R2"	1922	"maize"
14	1	6272	"R2"	1922	"maize"
15	1	6145	"R2"	1922	"maize"
16	1	6337	"R2"	1922	"maize"
17	1	6211	"R2"	1922	"maize"
18	1	5812	"R2"	1922	"maize"
19	1	6645	"R2"	1922	"maize"
20	1	6267	"R2"	1922	"maize"
21	1	6338	"R2"	1922	"maize"
22	1	6594	"R2"	1922	"maize"
23	1	6113	"R2"	1922	"maize"
24	1	5868	"R2"	1922	"maize"
25	1	5986	"R2"	1922	"maize"
26	1	5571	"R2"	1922	"maize"
27	1	6173	"R2"	1922	"maize"
28	1	5911	"R2"	1922	"maize"
29	1	5855	"R2"	1922	"maize"
30	1	5723	"R2"	1922	"maize"
31	1	6032	"R2"	1922	"maize"
32	1	6038	"R2"	1922	"maize"
33	1	5867	"R2"	1922	"maize"
34	1	6009	"R2"	1922	"maize"
35	1	5841	"R2"	1922	"maize"
1	2	6337	"R2"	1922	"maize"
2	2	5929	"R2"	1922	"maize"
3	2	5795	"R2"	1922	"maize"
4	2	5954	"R2"	1922	"maize"
5	2	5740	"R2"	1922	"maize"
6	2	5388	"R2"	1922	"maize"
7	2	6092	"R2"	1922	"maize"
8	2	6244	"R2"	1922	"maize"
9	2	6658	"R2"	1922	"maize"
10	2	6515	"R2"	1922	"maize"
11	2	6441	"R2"	1922	"maize"
12	2	6283	"R2"	1922	"maize"
13	2	6379	"R2"	1922	"maize"
14	2	6263	"R2"	1922	"maize"
15	2	6532	"R2"	1922	"maize"
16	2	6379	"R2"	1922	"maize"
17	2	6337	"R2"	1922	"maize"
18	2	6308	"R2"	1922	"maize"
19	2	5956	"R2"	1922	"maize"
20	2	6058	"R2"	1922	"maize"
21	2	6247	"R2"	1922	"maize"
22	2	6195	"R2"	1922	"maize"
23	2	6091	"R2"	1922	"maize"
24	2	5948	"R2"	1922	"maize"
25	2	6238	"R2"	1922	"maize"
26	2	6323	"R2"	1922	"maize"
27	2	5965	"R2"	1922	"maize"
28	2	6378	"R2"	1922	"maize"
29	2	5741	"R2"	1922	"maize"
30	2	5997	"R2"	1922	"maize"
31	2	6072	"R2"	1922	"maize"
32	2	6211	"R2"	1922	"maize"
33	2	5917	"R2"	1922	"maize"
34	2	6243	"R2"	1922	"maize"
35	2	5711	"R2"	1922	"maize"
1	3	5588	"R2"	1922	"maize"
2	3	5736	"R2"	1922	"maize"
3	3	5414	"R2"	1922	"maize"
4	3	5559	"R2"	1922	"maize"
5	3	5062	"R2"	1922	"maize"
6	3	5400	"R2"	1922	"maize"
7	3	5726	"R2"	1922	"maize"
8	3	5861	"R2"	1922	"maize"
9	3	6072	"R2"	1922	"maize"
10	3	5974	"R2"	1922	"maize"
11	3	6134	"R2"	1922	"maize"
12	3	6052	"R2"	1922	"maize"
13	3	6055	"R2"	1922	"maize"
14	3	6452	"R2"	1922	"maize"
15	3	6103	"R2"	1922	"maize"
16	3	6016	"R2"	1922	"maize"
17	3	6164	"R2"	1922	"maize"
18	3	5928	"R2"	1922	"maize"
19	3	6129	"R2"	1922	"maize"
20	3	5920	"R2"	1922	"maize"
21	3	6183	"R2"	1922	"maize"
22	3	6295	"R2"	1922	"maize"
23	3	5862	"R2"	1922	"maize"
24	3	5968	"R2"	1922	"maize"
25	3	6034	"R2"	1922	"maize"
