gen	trait	score
Diana	CommonScab	4
Estima	CommonScab	5
Foxton	CommonScab	3
Kingston	CommonScab	7
Kirsty	CommonScab	5
Morene	CommonScab	6
PCrown	CommonScab	8
Record	CommonScab	6
RodePipo	CommonScab	5
Diana	CrispColor	6
Estima	CrispColor	3
Foxton	CrispColor	9
Kingston	CrispColor	6
Kirsty	CrispColor	5
Morene	CrispColor	6
PCrown	CrispColor	6
Record	CrispColor	8
RodePipo	CrispColor	6
Diana	Dormancy	6
Estima	Dormancy	7
Foxton	Dormancy	5
Kingston	Dormancy	6
Kirsty	Dormancy	7
Morene	Dormancy	5
PCrown	Dormancy	5
Record	Dormancy	4
RodePipo	Dormancy	7
Diana	DroughtResis	6
Estima	DroughtResis	7
Foxton	DroughtResis	4
Kingston	DroughtResis	6
Kirsty	DroughtResis	6
Morene	DroughtResis	5
PCrown	DroughtResis	7
Record	DroughtResis	4
RodePipo	DroughtResis	5
Diana	DryMatter	4
Estima	DryMatter	4
Foxton	DryMatter	9
Kingston	DryMatter	4
Kirsty	DryMatter	5
Morene	DryMatter	7
PCrown	DryMatter	6
Record	DryMatter	9
RodePipo	DryMatter	5
Diana	ExtDamage	6
Estima	ExtDamage	5
Foxton	ExtDamage	7
Kingston	ExtDamage	8
Kirsty	ExtDamage	6
Morene	ExtDamage	8
PCrown	ExtDamage	5
Record	ExtDamage	8
RodePipo	ExtDamage	3
Diana	FoliageBlight	4
Estima	FoliageBlight	6
Foxton	FoliageBlight	4
Kingston	FoliageBlight	4
Kirsty	FoliageBlight	5
Morene	FoliageBlight	6
PCrown	FoliageBlight	5
Record	FoliageBlight	6
RodePipo	FoliageBlight	4
Diana	FoliageCover	4
Estima	FoliageCover	5
Foxton	FoliageCover	5
Kingston	FoliageCover	4
Kirsty	FoliageCover	8
Morene	FoliageCover	8
PCrown	FoliageCover	8
Record	FoliageCover	5
RodePipo	FoliageCover	6
Diana	FoliageMatur	8
Estima	FoliageMatur	6
Foxton	FoliageMatur	7
Kingston	FoliageMatur	6
Kirsty	FoliageMatur	4
Morene	FoliageMatur	6
PCrown	FoliageMatur	5
Record	FoliageMatur	8
RodePipo	FoliageMatur	7
Diana	Gangrene	7
Estima	Gangrene	4
Foxton	Gangrene	7
Kingston	Gangrene	6
Kirsty	Gangrene	6
Morene	Gangrene	7
PCrown	Gangrene	4
Record	Gangrene	5
RodePipo	Gangrene	5
Diana	IntBruise	1
Estima	IntBruise	6
Foxton	IntBruise	5
Kingston	IntBruise	8
Kirsty	IntBruise	5
Morene	IntBruise	8
PCrown	IntBruise	6
Record	IntBruise	5
RodePipo	IntBruise	6
Diana	LeafRoll	5
Estima	LeafRoll	4
Foxton	LeafRoll	3
Kingston	LeafRoll	6
Kirsty	LeafRoll	7
Morene	LeafRoll	6
PCrown	LeafRoll	7
Record	LeafRoll	4
RodePipo	LeafRoll	5
Diana	TuberBlight	3
Estima	TuberBlight	6
Foxton	TuberBlight	7
Kingston	TuberBlight	3
Kirsty	TuberBlight	5
Morene	TuberBlight	7
PCrown	TuberBlight	4
Record	TuberBlight	7
RodePipo	TuberBlight	2
Diana	VirusY	3
Estima	VirusY	2
Foxton	VirusY	6
Kingston	VirusY	4
Kirsty	VirusY	7
Morene	VirusY	2
PCrown	VirusY	8
Record	VirusY	2
RodePipo	VirusY	3
