"yield"	"gen"	"loc"	"nitro"	"year"
4.206	"Georgie"	"C1"	0	1976
4.785	"Georgie"	"C3"	0	1976
4.501	"Georgie"	"C4"	0	1976
5.625	"Georgie"	"C5"	0	1976
4.622	"Midas"	"C1"	0	1976
4.103	"Midas"	"C3"	0	1976
4.217	"Midas"	"C4"	0	1976
5.121	"Midas"	"C5"	0	1976
4.666	"Sundance"	"C1"	0	1976
4.378	"Sundance"	"C3"	0	1976
4.369	"Sundance"	"C4"	0	1976
5.993	"Sundance"	"C5"	0	1976
5.71	"Georgie"	"C1"	0	1977
3.86	"Georgie"	"C2"	0	1977
3.164	"Georgie"	"C5"	0	1977
5.015	"Midas"	"C1"	0	1977
3.37	"Midas"	"C2"	0	1977
3.381	"Midas"	"C5"	0	1977
5.613	"Sundance"	"C1"	0	1977
3.69	"Sundance"	"C2"	0	1977
3.273	"Sundance"	"C5"	0	1977
4.586	"Georgie"	"C1"	35	1976
5.159	"Georgie"	"C3"	35	1976
4.888	"Georgie"	"C4"	35	1976
5.897	"Georgie"	"C5"	35	1976
4.494	"Midas"	"C1"	35	1976
4.467	"Midas"	"C3"	35	1976
5.079	"Midas"	"C4"	35	1976
5.803	"Midas"	"C5"	35	1976
4.49	"Sundance"	"C1"	35	1976
4.987	"Sundance"	"C3"	35	1976
4.872	"Sundance"	"C4"	35	1976
6.124	"Sundance"	"C5"	35	1976
6.014	"Georgie"	"C1"	35	1977
4.02	"Georgie"	"C2"	35	1977
4.097	"Georgie"	"C5"	35	1977
6.057	"Midas"	"C1"	35	1977
4.165	"Midas"	"C2"	35	1977
4.293	"Midas"	"C5"	35	1977
5.889	"Sundance"	"C1"	35	1977
4.17	"Sundance"	"C2"	35	1977
4.122	"Sundance"	"C5"	35	1977
5.075	"Georgie"	"C1"	62	1976
5.791	"Georgie"	"C3"	62	1976
5.463	"Georgie"	"C4"	62	1976
6.785	"Georgie"	"C5"	62	1976
5.37	"Midas"	"C1"	62	1976
4.372	"Midas"	"C3"	62	1976
4.884	"Midas"	"C4"	62	1976
6.211	"Midas"	"C5"	62	1976
5.548	"Sundance"	"C1"	62	1976
5.319	"Sundance"	"C3"	62	1976
5.197	"Sundance"	"C4"	62	1976
6.72	"Sundance"	"C5"	62	1976
6.609	"Georgie"	"C1"	62	1977
4.98	"Georgie"	"C2"	62	1977
4.769	"Georgie"	"C5"	62	1977
6.013	"Midas"	"C1"	62	1977
4.835	"Midas"	"C2"	62	1977
4.555	"Midas"	"C5"	62	1977
5.524	"Sundance"	"C1"	62	1977
4.79	"Sundance"	"C2"	62	1977
4.484	"Sundance"	"C5"	62	1977
5.795	"Georgie"	"C1"	90	1976
5.681	"Georgie"	"C3"	90	1976
5.262	"Georgie"	"C4"	90	1976
6.823	"Georgie"	"C5"	90	1976
5.266	"Midas"	"C1"	90	1976
4.666	"Midas"	"C3"	90	1976
4.928	"Midas"	"C4"	90	1976
6.41	"Midas"	"C5"	90	1976
5.627	"Sundance"	"C1"	90	1976
5.183	"Sundance"	"C3"	90	1976
5.118	"Sundance"	"C4"	90	1976
6.913	"Sundance"	"C5"	90	1976
5.527	"Georgie"	"C1"	90	1977
5.035	"Georgie"	"C2"	90	1977
5.113	"Georgie"	"C5"	90	1977
6.192	"Midas"	"C1"	90	1977
5.485	"Midas"	"C2"	90	1977
5.213	"Midas"	"C5"	90	1977
4.361	"Sundance"	"C1"	90	1977
5.18	"Sundance"	"C2"	90	1977
5.234	"Sundance"	"C5"	90	1977
6.009	"Georgie"	"C1"	125	1976
5.594	"Georgie"	"C3"	125	1976
5.588	"Georgie"	"C4"	125	1976
7.219	"Georgie"	"C5"	125	1976
5.234	"Midas"	"C1"	125	1976
4.415	"Midas"	"C3"	125	1976
5.099	"Midas"	"C4"	125	1976
6.828	"Midas"	"C5"	125	1976
5.6	"Sundance"	"C1"	125	1976
5.17	"Sundance"	"C3"	125	1976
5.535	"Sundance"	"C4"	125	1976
7.088	"Sundance"	"C5"	125	1976
4.249	"Georgie"	"C1"	125	1977
5.69	"Georgie"	"C2"	125	1977
5.365	"Georgie"	"C5"	125	1977
5.583	"Midas"	"C1"	125	1977
6.125	"Midas"	"C2"	125	1977
5.78	"Midas"	"C5"	125	1977
3.961	"Sundance"	"C1"	125	1977
5.595	"Sundance"	"C2"	125	1977
5.979	"Sundance"	"C5"	125	1977
