year	env	gen	yield	chu
1990	E1	G01	6.27	2.57
1990	E2	G01	5.57	2.53
1990	E3	G01	8.45	2.72
1990	E4	G01	7.35	2.72
1990	E7	G01	6.5	2.48
1991	E1	G01	6.71	2.44
1991	E2	G01	5.59	2.55
1991	E3	G01	8.36	2.75
1991	E4	G01	7.25	2.75
1991	E5	G01	8.09	2.61
1991	E6	G01	6.66	2.5
1991	E7	G01	5.68	2.39
1992	E1	G01	5.09	2.37
1992	E2	G01	5.93	2.45
1992	E3	G01	7.63	2.64
1992	E4	G01	8.02	2.64
1992	E5	G01	6.69	2.51
1992	E6	G01	7.14	2.39
1993	E3	G01	6.82	2.63
1993	E4	G01	5.69	2.63
1993	E5	G01	5.18	2.46
1993	E6	G01	4.88	2.45
1993	E7	G01	6.2	2.31
1994	E1	G01	6.67	2.65
1994	E2	G01	3.35	2.51
1994	E3	G01	7.48	2.77
1994	E5	G01	6.41	2.64
1994	E6	G01	6.76	2.58
1994	E7	G01	6.47	2.49
1990	E1	G02	6.62	2.57
1990	E2	G02	6.95	2.53
1990	E3	G02	8.19	2.72
1990	E4	G02	6.43	2.72
1990	E7	G02	7.09	2.48
1991	E1	G02	6.73	2.44
1991	E2	G02	5.01	2.55
1991	E3	G02	7.62	2.75
1991	E4	G02	6.7	2.75
1991	E5	G02	8.45	2.61
1991	E6	G02	6.97	2.5
1991	E7	G02	5.53	2.39
1992	E1	G02	6.05	2.37
1992	E2	G02	6.05	2.45
1992	E3	G02	8.07	2.64
1992	E4	G02	7.99	2.64
1992	E5	G02	6.99	2.51
1992	E6	G02	7.53	2.39
1993	E3	G02	6.75	2.63
1993	E4	G02	5.47	2.63
1993	E5	G02	5.55	2.46
1993	E6	G02	4.72	2.45
1993	E7	G02	6.09	2.31
1994	E1	G02	8.28	2.65
1994	E2	G02	3.64	2.51
1994	E3	G02	7.05	2.77
1994	E5	G02	6.9	2.64
1994	E6	G02	6.46	2.58
1994	E7	G02	6.7	2.49
1990	E1	G03	6.07	2.57
1990	E2	G03	5.42	2.53
1990	E3	G03	6.84	2.72
1990	E4	G03	6.59	2.72
1990	E7	G03	5.99	2.48
1991	E1	G03	6.04	2.44
1991	E2	G03	5.21	2.55
1991	E3	G03	7.43	2.75
1991	E4	G03	7.46	2.75
1991	E5	G03	6.73	2.61
1991	E6	G03	6.43	2.5
1991	E7	G03	5.08	2.39
1992	E1	G03	5.24	2.37
1992	E2	G03	5.37	2.45
1992	E3	G03	5.96	2.64
1992	E4	G03	6.84	2.64
1992	E5	G03	6.04	2.51
1992	E6	G03	6.15	2.39
1993	E3	G03	4.83	2.63
1993	E4	G03	5.74	2.63
1993	E5	G03	4.27	2.46
1993	E6	G03	3.7	2.45
1993	E7	G03	5.79	2.31
1994	E1	G03	5.11	2.65
1994	E2	G03	3.14	2.51
1994	E3	G03	5.5	2.77
1994	E5	G03	6.44	2.64
1994	E6	G03	5.25	2.58
1994	E7	G03	5.57	2.49
1990	E1	G04	7.2	2.57
1990	E2	G04	7.31	2.53
1990	E3	G04	8.19	2.72
1990	E4	G04	7.16	2.72
1990	E7	G04	7.35	2.48
1991	E1	G04	7.11	2.44
1991	E2	G04	5.74	2.55
1991	E3	G04	7.47	2.75
1991	E4	G04	7.53	2.75
1991	E5	G04	8.92	2.61
1991	E6	G04	7.07	2.5
1991	E7	G04	6.32	2.39
1992	E1	G04	5.37	2.37
1992	E2	G04	5.89	2.45
1992	E3	G04	6.71	2.64
1992	E4	G04	7.89	2.64
1992	E5	G04	6.62	2.51
1992	E6	G04	6.9	2.39
1993	E3	G04	6.47	2.63
1993	E4	G04	5.62	2.63
1993	E5	G04	5.74	2.46
1993	E6	G04	4.4	2.45
1993	E7	G04	6.62	2.31
1994	E1	G04	7.47	2.65
1994	E2	G04	4.82	2.51
1994	E3	G04	7.48	2.77
1994	E5	G04	7.78	2.64
1994	E6	G04	6.93	2.58
1994	E7	G04	7.7	2.49
1990	E1	G05	6.65	2.57
1990	E2	G05	6.82	2.53
1990	E3	G05	7.18	2.72
1990	E4	G05	6.24	2.72
1990	E7	G05	6.72	2.48
1992	E1	G05	5.7	2.37
1992	E2	G05	5.75	2.45
1992	E3	G05	7.94	2.64
1992	E4	G05	7.79	2.64
1992	E5	G05	6.8	2.51
1992	E6	G05	6.86	2.39
1993	E3	G05	6.11	2.63
1993	E4	G05	5.04	2.63
1993	E5	G05	5.41	2.46
1993	E6	G05	4.26	2.45
1993	E7	G05	5.86	2.31
1994	E1	G05	7.61	2.65
1994	E2	G05	4.12	2.51
1994	E3	G05	7.35	2.77
1994	E5	G05	6.28	2.64
1994	E6	G05	5.5	2.58
1994	E7	G05	6.8	2.49
1990	E1	G06	6.71	2.57
1990	E2	G06	5.86	2.53
1990	E3	G06	8.36	2.72
1990	E4	G06	6.43	2.72
1990	E7	G06	7.15	2.48
1991	E1	G06	6.58	2.44
1991	E2	G06	5.18	2.55
1991	E3	G06	8.31	2.75
1991	E4	G06	6.69	2.75
1991	E5	G06	7.22	2.61
1991	E6	G06	7.04	2.5
1991	E7	G06	5.73	2.39
1992	E1	G06	4.86	2.37
1992	E2	G06	5.4	2.45
1992	E3	G06	7.04	2.64
1992	E4	G06	7.37	2.64
1992	E5	G06	5.73	2.51
1992	E6	G06	7.27	2.39
1993	E3	G06	6.27	2.63
1993	E4	G06	5.48	2.63
1993	E5	G06	4.41	2.46
1993	E6	G06	4.05	2.45
