"row"	"col"	"yield"	"season"
1	1	649	"winter"
2	1	627	"winter"
3	1	674	"winter"
4	1	710	"winter"
5	1	701	"winter"
6	1	636	"winter"
7	1	556	"winter"
8	1	625	"winter"
9	1	722	"winter"
10	1	662	"winter"
1	2	671	"winter"
2	2	632	"winter"
3	2	570	"winter"
4	2	694	"winter"
5	2	650	"winter"
6	2	705	"winter"
7	2	709	"winter"
8	2	673	"winter"
9	2	570	"winter"
10	2	607	"winter"
1	3	560	"winter"
2	3	697	"winter"
3	3	721	"winter"
4	3	616	"winter"
5	3	674	"winter"
6	3	580	"winter"
7	3	672	"winter"
8	3	697	"winter"
9	3	644	"winter"
10	3	567	"winter"
1	4	594	"winter"
2	4	605	"winter"
3	4	664	"winter"
4	4	593	"winter"
5	4	686	"winter"
6	4	615	"winter"
7	4	617	"winter"
8	4	693	"winter"
9	4	647	"winter"
10	4	605	"winter"
1	5	633	"winter"
2	5	673	"winter"
3	5	644	"winter"
4	5	696	"winter"
5	5	658	"winter"
6	5	612	"winter"
7	5	610	"winter"
8	5	710	"winter"
9	5	772	"winter"
10	5	659	"winter"
1	6	609	"winter"
2	6	679	"winter"
3	6	684	"winter"
4	6	607	"winter"
5	6	670	"winter"
6	6	610	"winter"
7	6	740	"winter"
8	6	725	"winter"
9	6	784	"winter"
10	6	747	"winter"
1	7	748	"winter"
2	7	706	"winter"
3	7	644	"winter"
4	7	690	"winter"
5	7	788	"winter"
6	7	785	"winter"
7	7	828	"winter"
8	7	789	"winter"
9	7	765	"winter"
10	7	730	"winter"
1	8	828	"winter"
2	8	766	"winter"
3	8	740	"winter"
4	8	697	"winter"
5	8	826	"winter"
6	8	799	"winter"
7	8	844	"winter"
8	8	817	"winter"
9	8	789	"winter"
10	8	587	"winter"
1	9	732	"winter"
2	9	737	"winter"
3	9	755	"winter"
4	9	690	"winter"
5	9	642	"winter"
6	9	756	"winter"
7	9	739	"winter"
8	9	723	"winter"
9	9	653	"winter"
10	9	559	"winter"
1	10	708	"winter"
2	10	704	"winter"
3	10	685	"winter"
4	10	749	"winter"
5	10	641	"winter"
6	10	685	"winter"
7	10	715	"winter"
8	10	670	"winter"
9	10	619	"winter"
10	10	605	"winter"
1	11	689	"winter"
2	11	773	"winter"
3	11	698	"winter"
4	11	715	"winter"
5	11	694	"winter"
6	11	701	"winter"
7	11	695	"winter"
8	11	669	"winter"
9	11	679	"winter"
10	11	594	"winter"
1	12	791	"winter"
2	12	803	"winter"
3	12	760	"winter"
4	12	742	"winter"
5	12	720	"winter"
6	12	747	"winter"
7	12	779	"winter"
8	12	730	"winter"
9	12	799	"winter"
