gen	pop	y
12380	P222	2.8
Vantage	P222	2.6
AM783778	P222	4.5
VTN	P222	19.6
Desire	P222	333
Maritta	P222	421
Astarte	P222	118.4
Elles	P222	3.6
Pansta	P222	23.4
Mara	P222	134.2
Saturna	P222	269
12380	Rookmaker	18.6
Vantage	Rookmaker	31.8
AM783778	Rookmaker	5.25
VTN	Rookmaker	96.2
Desire	Rookmaker	402.6
Maritta	Rookmaker	426.8
Astarte	Rookmaker	122.4
Elles	Rookmaker	58
Pansta	Rookmaker	199
Mara	Rookmaker	216
Saturna	Rookmaker	384.6
12380	758844	5.6
Vantage	758844	5.4
AM783778	758844	2
VTN	758844	85.4
Desire	758844	339
Maritta	758844	221.8
Astarte	758844	145.4
Elles	758844	43.8
Pansta	758844	208.4
Mara	758844	257.2
Saturna	758844	361.6
12380	7476820	136.8
Vantage	7476820	107.2
AM783778	7476820	9.8
VTN	7476820	307
Desire	7476820	549.6
Maritta	7476820	630.4
Astarte	7476820	102.4
Elles	7476820	123.4
Pansta	7476820	83.8
Mara	7476820	277.4
Saturna	7476820	477.8
12380	1077	8.2
Vantage	1077	17
AM783778	1077	6.2
VTN	1077	29.4
Desire	1077	374
Maritta	1077	260.8
Astarte	1077	106.2
Elles	1077	9.6
Pansta	1077	104.6
Mara	1077	204.4
Saturna	1077	356.8
