"year"	"trt"	"yield"
1988	"TSM0"	8132
1989	"TSM0"	7434
1990	"TSM0"	5243
1991	"TSM0"	7799
1992	"TSM0"	6085
1993	"TSM0"	7456
1994	"TSM0"	8435
1995	"TSM0"	5865
1996	"TSM0"	7564
1997	"TSM0"	7794
1988	"tSM0"	6691
1989	"tSM0"	7140
1990	"tSM0"	4861
1991	"tSM0"	7448
1992	"tSM0"	6767
1993	"tSM0"	7197
1994	"tSM0"	8750
1995	"tSM0"	5543
1996	"tSM0"	6639
1997	"tSM0"	6992
1988	"TsM0"	7163
1989	"TsM0"	7483
1990	"TsM0"	4724
1991	"TsM0"	7857
1992	"TsM0"	5645
1993	"TsM0"	6961
1994	"TsM0"	7377
1995	"TsM0"	5749
1996	"TsM0"	7877
1997	"TsM0"	6780
1988	"tsM0"	5632
1989	"tsM0"	7146
1990	"tsM0"	4181
1991	"tsM0"	6787
1992	"tsM0"	4559
1993	"tsM0"	6021
1994	"tsM0"	6830
1995	"tsM0"	5194
1996	"tsM0"	7477
1997	"tsM0"	5145
1988	"TSm0"	5942
1989	"TSm0"	5544
1990	"TSm0"	4717
1991	"TSm0"	6410
1992	"TSm0"	5396
1993	"TSm0"	5824
1994	"TSm0"	5650
1995	"TSm0"	4242
1996	"TSm0"	6316
1997	"TSm0"	4683
1988	"tSm0"	5164
1989	"tSm0"	5650
1990	"tSm0"	4437
1991	"tSm0"	6015
1992	"tSm0"	5693
1993	"tSm0"	5759
1994	"tSm0"	7200
1995	"tSm0"	4186
1996	"tSm0"	5740
1997	"tSm0"	4364
1988	"Tsm0"	4537
1989	"Tsm0"	3913
1990	"Tsm0"	4463
1991	"Tsm0"	5964
1992	"Tsm0"	4282
1993	"Tsm0"	4425
1994	"Tsm0"	5331
1995	"Tsm0"	4210
1996	"Tsm0"	6348
1997	"Tsm0"	3969
1988	"tsm0"	4085
1989	"tsm0"	4657
1990	"tsm0"	4554
1991	"tsm0"	6320
1992	"tsm0"	3149
1993	"tsm0"	4129
1994	"tsm0"	4760
1995	"tsm0"	3507
1996	"tsm0"	6049
1997	"tsm0"	3304
1988	"TSMn"	9521
1989	"TSMn"	7560
1990	"TSMn"	8016
1991	"TSMn"	9017
1992	"TSMn"	6844
1993	"TSMn"	8054
1994	"TSMn"	9227
1995	"TSMn"	5998
1996	"TSMn"	7813
1997	"TSMn"	9469
1988	"tSMn"	8189
1989	"tSMn"	6922
1990	"tSMn"	7337
1991	"tSMn"	8320
1992	"tSMn"	6930
1993	"tSMn"	8116
1994	"tSMn"	9608
1995	"tSMn"	6165
1996	"tSMn"	7410
1997	"tSMn"	8503
1988	"TsMn"	8785
1989	"TsMn"	7440
1990	"TsMn"	8203
1991	"TsMn"	8658
1992	"TsMn"	7197
1993	"TsMn"	7579
1994	"TsMn"	8692
1995	"TsMn"	4867
1996	"TsMn"	7722
1997	"TsMn"	9101
1988	"tsMn"	8353
1989	"tsMn"	7526
1990	"tsMn"	7718
1991	"tsMn"	8082
1992	"tsMn"	7006
1993	"tsMn"	7561
1994	"tsMn"	9931
1995	"tsMn"	5600
1996	"tsMn"	7406
1997	"tsMn"	8490
1988	"TSmn"	7982
1989	"TSmn"	7406
1990	"TSmn"	7435
1991	"TSmn"	7686
1992	"TSmn"	7632
1993	"TSmn"	7405
1994	"TSmn"	8009
1995	"TSmn"	6432
1996	"TSmn"	7643
1997	"TSmn"	8204
1988	"tSmn"	7211
1989	"tSmn"	7158
1990	"tSmn"	7217
1991	"tSmn"	7878
1992	"tSmn"	7664
1993	"tSmn"	7217
1994	"tSmn"	8345
1995	"tSmn"	6093
1996	"tSmn"	7006
1997	"tSmn"	8131
1988	"Tsmn"	8132
1989	"Tsmn"	7217
1990	"Tsmn"	7431
1991	"Tsmn"	7624
1992	"Tsmn"	7006
1993	"Tsmn"	6965
1994	"Tsmn"	8186
1995	"Tsmn"	5832
1996	"Tsmn"	7187
1997	"Tsmn"	8089
1988	"tsmn"	6150
1989	"tsmn"	7117
1990	"tsmn"	7067
1991	"tsmn"	7551
1992	"tsmn"	7331
1993	"tsmn"	7407
1994	"tsmn"	7852
1995	"tsmn"	5999
1996	"tsmn"	7474
1997	"tsmn"	7448
1988	"TSMN"	9852
1989	"TSMN"	6785
1990	"TSMN"	8517
1991	"TSMN"	8896
1992	"TSMN"	6507
1993	"TSMN"	7755
1994	"TSMN"	9355
1995	"TSMN"	4873
1996	"TSMN"	7035
1997	"TSMN"	8875
1988	"tSMN"	8639
1989	"tSMN"	6782
1990	"tSMN"	7690
1991	"tSMN"	8337
1992	"tSMN"	7433
1993	"tSMN"	8179
1994	"tSMN"	8679
1995	"tSMN"	5211
1996	"tSMN"	7101
1997	"tSMN"	8666
1988	"TsMN"	9597
1989	"TsMN"	6903
1990	"TsMN"	8204
1991	"TsMN"	8781
1992	"TsMN"	6876
1993	"TsMN"	8761
1994	"TsMN"	9028
1995	"TsMN"	4976
1996	"TsMN"	7380
1997	"TsMN"	9121
1988	"tsMN"	8536
1989	"tsMN"	6173
1990	"tsMN"	7478
1991	"tsMN"	8787
1992	"tsMN"	7094
1993	"tsMN"	8340
1994	"tsMN"	8426
1995	"tsMN"	5222
1996	"tsMN"	6910
1997	"tsMN"	8535
1988	"TSmN"	8940
1989	"TSmN"	7361
1990	"TSmN"	7989
1991	"TSmN"	8519
1992	"TSmN"	7059
1993	"TSmN"	7714
1994	"TSmN"	8447
1995	"TSmN"	6564
1996	"TSmN"	7362
1997	"TSmN"	8988
1988	"tSmN"	8203
1989	"tSmN"	7275
1990	"tSmN"	7314
1991	"tSmN"	8294
1992	"tSmN"	6730
1993	"tSmN"	7406
1994	"tSmN"	8354
1995	"tSmN"	5923
1996	"tSmN"	6880
1997	"tSmN"	8586
1988	"TsmN"	8686
1989	"TsmN"	7748
1990	"TsmN"	7706
1991	"TsmN"	8362
1992	"TsmN"	7196
1993	"TsmN"	7634
1994	"TsmN"	7939
1995	"TsmN"	5883
1996	"TsmN"	7025
1997	"TsmN"	9164
1988	"tsmN"	7384
1989	"tsmN"	7667
1990	"tsmN"	7289
1991	"tsmN"	7937
1992	"tsmN"	7610
1993	"tsmN"	7945
1994	"tsmN"	8424
1995	"tsmN"	6250
1996	"tsmN"	6940
1997	"tsmN"	8424
