env	gen	yield
OBD1	G1	-15.36
SUD1	G1	231.97
SUD2	G1	122.72
SUD3	G1	273.1
SUD4	G1	1.47
TLD1	G1	-94.36
TLD2	G1	-362.95
TLD3	G1	-771.03
TLF1	G1	231.76
TLF2	G1	-22.2
TLF3	G1	396.35
TLD4	G1	-203.82
IND1	G1	-577.36
IND2	G1	-138.2
IND4	G1	-355.32
SYR1	G1	195.72
SYR2	G1	42.05
NIG2	G1	1229.89
NIG3	G1	253.01
NIG4	G1	-101.78
INI4	G1	-335.65
OBD1	G2	787.605
SUD1	G2	-38.728
SUD2	G2	-152.312
SUD3	G2	534.73
SUD4	G2	227.772
TLD1	G2	-154.395
TLD2	G2	256.022
TLD3	G2	654.605
TLF1	G2	-83.27
TLF2	G2	-204.562
TLF3	G2	93.98
TLD4	G2	-197.853
IND1	G2	252.272
IND2	G2	-440.562
IND4	G2	83.647
SYR1	G2	-289.645
SYR2	G2	-322.978
NIG2	G2	-487.812
NIG3	G2	-209.02
NIG4	G2	-312.145
INI4	G2	2.647
OBD1	G3	-560.73
SUD1	G3	108.94
SUD2	G3	180.02
SUD3	G3	201.06
SUD4	G3	48.44
TLD1	G3	321.94
TLD2	G3	753.69
TLD3	G3	154.94
TLF1	G3	17.73
TLF2	G3	30.77
TLF3	G3	-246.35
TLD4	G3	-54.52
IND1	G3	-1292.06
IND2	G3	119.44
IND4	G3	-238.69
SYR1	G3	-181.31
SYR2	G3	87.36
NIG2	G3	180.86
NIG3	G3	105.98
NIG4	G3	191.52
INI4	G3	70.98
OBD1	G4	-171.331
SUD1	G4	-242.665
SUD2	G4	-470.581
SUD3	G4	257.794
SUD4	G4	398.502
TLD1	G4	195.335
TLD2	G4	1.752
TLD3	G4	-120.665
TLF1	G4	122.794
TLF2	G4	285.169
TLF3	G4	65.377
TLD4	G4	-36.79
IND1	G4	-609.998
IND2	G4	-48.165
IND4	G4	260.377
SYR1	G4	-389.248
SYR2	G4	103.419
NIG2	G4	329.919
NIG3	G4	-91.956
NIG4	G4	132.919
INI4	G4	28.044
OBD1	G5	134.99
SUD1	G5	-180.68
SUD2	G5	296.74
SUD3	G5	-32.22
SUD4	G5	-451.51
TLD1	G5	-155.68
TLD2	G5	189.4
TLD3	G5	414.99
TLF1	G5	184.44
TLF2	G5	-221.18
TLF3	G5	632.03
TLD4	G5	167.53
IND1	G5	693.32
IND2	G5	285.82
IND4	G5	-1016.31
SYR1	G5	229.74
SYR2	G5	-60.6
NIG2	G5	-302.43
NIG3	G5	-279.64
NIG4	G5	-540.76
INI4	G5	12.03
OBD1	G6	-598.538
SUD1	G6	-160.204
SUD2	G6	-540.454
SUD3	G6	-471.746
SUD4	G6	17.962
TLD1	G6	-98.871
TLD2	G6	-366.454
TLD3	G6	-357.204
TLF1	G6	54.254
TLF2	G6	553.962
TLF3	G6	-435.829
TLD4	G6	113.337
IND1	G6	-161.204
IND2	G6	-90.038
IND4	G6	640.171
SYR1	G6	646.546
SYR2	G6	788.879
NIG2	G6	346.046
NIG3	G6	237.171
NIG4	G6	208.712
INI4	G6	-326.496
OBD1	G7	291.002
SUD1	G7	294.669
SUD2	G7	196.419
SUD3	G7	-314.54
SUD4	G7	149.502
TLD1	G7	-38.331
TLD2	G7	-228.248
TLD3	G7	-362.665
TLF1	G7	-18.873
TLF2	G7	-168.831
TLF3	G7	-272.29
TLD4	G7	221.21
IND1	G7	147.335
IND2	G7	-494.165
IND4	G7	171.044
SYR1	G7	34.752
SYR2	G7	-214.915
NIG2	G7	-183.748
NIG3	G7	130.377
NIG4	G7	609.252
INI4	G7	51.044
OBD1	G8	132.37
SUD1	G8	-13.3
SUD2	G8	367.45
SUD3	G8	-448.17
SUD4	G8	-392.13
TLD1	G8	24.37
TLD2	G8	-243.22
TLD3	G8	387.03
TLF1	G8	-508.84
TLF2	G8	-253.13
TLF3	G8	-233.26
TLD4	G8	-9.09
IND1	G8	1547.7
IND2	G8	805.87
IND4	G8	455.08
SYR1	G8	-246.55
SYR2	G8	-423.22
NIG2	G8	-1112.72
NIG3	G8	-145.92
NIG4	G8	-187.72
INI4	G8	497.41
