gen	site	rep	rate	row	col	serp	linrow	lincol	linrate	yield	year	loc
Illyarrie	S01	R1	40	1	1	SE1	-0.75	-2.5	-0.1694215	0.6171	91	Badgingerra
Gungurru	S01	R1	60	2	1	SE2	-0.65	-2.5	1.8305785	1.1936	91	Badgingerra
Merrit	S01	R1	40	3	1	SE3	-0.55	-2.5	-0.1694215	1.0994	91	Badgingerra
Gungurru	S01	R1	50	4	1	SE4	-0.45	-2.5	0.8305785	0.9405	91	Badgingerra
Gungurru	S01	R1	40	5	1	SE1	-0.35	-2.5	-0.1694215	0.9825	91	Badgingerra
Yandee	S01	R1	40	6	1	SE2	-0.25	-2.5	-0.1694215	1.0129	91	Badgingerra
Danja	S01	R1	10	7	1	SE3	-0.15	-2.5	-3.1694215	0.5406	91	Badgingerra
Gungurru	S01	R1	10	8	1	SE4	-0.05	-2.5	-3.1694215	0.268	91	Badgingerra
Danja	S01	R1	60	9	1	SE1	0.05	-2.5	1.8305785	0.8196	91	Badgingerra
Merrit	S01	R1	10	10	1	SE2	0.15	-2.5	-3.1694215	0.5171	91	Badgingerra
Yorrel	S01	R1	30	11	1	SE3	0.25	-2.5	-1.1694215	0.701	91	Badgingerra
Warrah	S01	R1	30	12	1	SE4	0.35	-2.5	-1.1694215	0.6698	91	Badgingerra
Gungurru	S01	R1	30	13	1	SE1	0.45	-2.5	-1.1694215	1.0336	91	Badgingerra
Warrah	S01	R1	10	14	1	SE2	0.55	-2.5	-3.1694215	0.5701	91	Badgingerra
Unicrop	S01	R1	30	15	1	SE3	0.65	-2.5	-1.1694215	0.5833	91	Badgingerra
Illyarrie	S01	R1	50	16	1	SE4	0.75	-2.5	0.8305785	0.8141	91	Badgingerra
Yorrel	S01	R1	20	1	2	SE1	-0.75	-1.5	-2.1694215	0.4586	91	Badgingerra
Illyarrie	S01	R1	20	2	2	SE2	-0.65	-1.5	-2.1694215	0.313	91	Badgingerra
Gungurru	S01	R1	20	3	2	SE3	-0.55	-1.5	-2.1694215	0.861	91	Badgingerra
Warrah	S01	R1	50	4	2	SE4	-0.45	-1.5	0.8305785	0.856	91	Badgingerra
Illyarrie	S01	R1	10	5	2	SE1	-0.35	-1.5	-3.1694215	0.5341	91	Badgingerra
Yandee	S01	R1	20	6	2	SE2	-0.25	-1.5	-2.1694215	0.5664	91	Badgingerra
Unicrop	S01	R1	10	7	2	SE3	-0.15	-1.5	-3.1694215	0.331	91	Badgingerra
Warrah	S01	R1	40	8	2	SE4	-0.05	-1.5	-0.1694215	0.2099	91	Badgingerra
Illyarrie	S01	R1	60	9	2	SE1	0.05	-1.5	1.8305785	0.6209	91	Badgingerra
Unicrop	S01	R1	40	10	2	SE2	0.15	-1.5	-0.1694215	0.6864	91	Badgingerra
Warrah	S01	R1	20	11	2	SE3	0.25	-1.5	-2.1694215	0.5979	91	Badgingerra
Unicrop	S01	R1	50	12	2	SE4	0.35	-1.5	0.8305785	0.826	91	Badgingerra
Danja	S01	R1	20	13	2	SE1	0.45	-1.5	-2.1694215	0.3541	91	Badgingerra
Yorrel	S01	R1	40	14	2	SE2	0.55	-1.5	-0.1694215	0.2333	91	Badgingerra
Unicrop	S01	R1	60	15	2	SE3	0.65	-1.5	1.8305785	0.1839	91	Badgingerra
Yandee	S01	R1	60	16	2	SE4	0.75	-1.5	1.8305785	0.6225	91	Badgingerra
Yorrel	S01	R1	60	1	3	SE1	-0.75	-0.5	1.8305785	0.5119	91	Badgingerra
Yandee	S01	R1	10	2	3	SE2	-0.65	-0.5	-3.1694215	0.2898	91	Badgingerra
Warrah	S01	R1	60	3	3	SE3	-0.55	-0.5	1.8305785	1.0019	91	Badgingerra
Merrit	S01	R1	60	4	3	SE4	-0.45	-0.5	1.8305785	1.003	91	Badgingerra
Yandee	S01	R1	30	5	3	SE1	-0.35	-0.5	-1.1694215	0.6584	91	Badgingerra
Danja	S01	R1	50	6	3	SE2	-0.25	-0.5	0.8305785	0.6853	91	Badgingerra
Yandee	S01	R1	50	7	3	SE3	-0.15	-0.5	0.8305785	0.4766	91	Badgingerra
Unicrop	S01	R1	20	8	3	SE4	-0.05	-0.5	-2.1694215	0.4645	91	Badgingerra
Yorrel	S01	R1	10	9	3	SE1	0.05	-0.5	-3.1694215	0.399	91	Badgingerra
Merrit	S01	R1	30	10	3	SE2	0.15	-0.5	-1.1694215	0.7719	91	Badgingerra
Merrit	S01	R1	20	11	3	SE3	0.25	-0.5	-2.1694215	0.5296	91	Badgingerra
Illyarrie	S01	R1	30	12	3	SE4	0.35	-0.5	-1.1694215	0.6303	91	Badgingerra
Danja	S01	R1	40	13	3	SE1	0.45	-0.5	-0.1694215	0.6896	91	Badgingerra
Danja	S01	R1	30	14	3	SE2	0.55	-0.5	-1.1694215	0.495	91	Badgingerra
Yorrel	S01	R1	50	15	3	SE3	0.65	-0.5	0.8305785	0.2544	91	Badgingerra
Merrit	S01	R1	50	16	3	SE4	0.75	-0.5	0.8305785	0.7445	91	Badgingerra
Yandee	S01	R2	20	1	4	SE1	-0.75	0.5	-2.1694215	0.3591	91	Badgingerra
Warrah	S01	R2	60	2	4	SE2	-0.65	0.5	1.8305785	0.2409	91	Badgingerra
Danja	S01	R2	50	3	4	SE3	-0.55	0.5	0.8305785	0.8138	91	Badgingerra
Yandee	S01	R2	30	4	4	SE4	-0.45	0.5	-1.1694215	0.3233	91	Badgingerra
Yandee	S01	R2	60	5	4	SE1	-0.35	0.5	1.8305785	0.6618	91	Badgingerra
Yandee	S01	R2	40	6	4	SE2	-0.25	0.5	-0.1694215	0.7276	91	Badgingerra
Yorrel	S01	R2	20	7	4	SE3	-0.15	0.5	-2.1694215	0.3575	91	Badgingerra
Merrit	S01	R2	60	8	4	SE4	-0.05	0.5	1.8305785	0.3606	91	Badgingerra
Gungurru	S01	R2	50	9	4	SE1	0.05	0.5	0.8305785	0.2755	91	Badgingerra
Illyarrie	S01	R2	50	10	4	SE2	0.15	0.5	0.8305785	0.595	91	Badgingerra
Unicrop	S01	R2	50	11	4	SE3	0.25	0.5	0.8305785	0.3545	91	Badgingerra
Danja	S01	R2	60	12	4	SE4	0.35	0.5	1.8305785	0.6375	91	Badgingerra
Gungurru	S01	R2	20	13	4	SE1	0.45	0.5	-2.1694215	0.4178	91	Badgingerra
Yandee	S01	R2	50	14	4	SE2	0.55	0.5	0.8305785	0.9611	91	Badgingerra
Gungurru	S01	R2	40	15	4	SE3	0.65	0.5	-0.1694215	0.5504	91	Badgingerra
Danja	S01	R2	20	16	4	SE4	0.75	0.5	-2.1694215	0.343	91	Badgingerra
Gungurru	S01	R2	60	1	5	SE1	-0.75	1.5	1.8305785	0.4955	91	Badgingerra
