"farm"	"system"	"gen"	"yield"
"F01"	"sole"	"Local"	2.375
"F02"	"sole"	"Local"	1.814
"F03"	"sole"	"Local"	3.065
"F04"	"sole"	"Local"	2.085
"F05"	"sole"	"Local"	1.493
"F06"	"sole"	"Local"	1.128
"F07"	"sole"	"Local"	2.334
"F08"	"sole"	"Local"	1.459
"F09"	"sole"	"Local"	1.99
"F10"	"sole"	"Local"	1.32
"F11"	"sole"	"Local"	1.777
"F12"	"sole"	"Local"	1.084
"F13"	"sole"	"Local"	1.387
"F14"	"sole"	"Local"	1.245
"F15"	"sole"	"Local"	2.601
"F16"	"sole"	"Local"	1.925
"F17"	"sole"	"Local"	0.194
"F18"	"sole"	"Local"	2.318
"F19"	"sole"	"Local"	0.646
"F20"	"sole"	"Local"	1.62
"F21"	"sole"	"Local"	1.462
"F22"	"sole"	"Local"	1.317
"F23"	"sole"	"Local"	0.73
"F24"	"sole"	"Local"	1.617
"F25"	"sole"	"Local"	1.458
"F01"	"pigeonpea"	"Local"	2.363
"F02"	"pigeonpea"	"Local"	2.435
"F03"	"pigeonpea"	"Local"	2.11
"F04"	"pigeonpea"	"Local"	1.958
"F05"	"pigeonpea"	"Local"	1.479
"F06"	"pigeonpea"	"Local"	1.524
"F07"	"pigeonpea"	"Local"	1.658
"F08"	"pigeonpea"	"Local"	0.83
"F09"	"pigeonpea"	"Local"	2.283
"F10"	"pigeonpea"	"Local"	0.991
"F11"	"pigeonpea"	"Local"	1.701
"F12"	"pigeonpea"	"Local"	1.197
"F13"	"pigeonpea"	"Local"	1.142
"F14"	"pigeonpea"	"Local"	1.229
"F15"	"pigeonpea"	"Local"	2.949
"F16"	"pigeonpea"	"Local"	1.759
"F17"	"pigeonpea"	"Local"	0.192
"F18"	"pigeonpea"	"Local"	1.924
"F19"	"pigeonpea"	"Local"	0.918
"F20"	"pigeonpea"	"Local"	0.994
"F21"	"pigeonpea"	"Local"	1.511
"F22"	"pigeonpea"	"Local"	0.887
"F23"	"pigeonpea"	"Local"	0.48
"F24"	"pigeonpea"	"Local"	1.306
"F25"	"pigeonpea"	"Local"	0.476
"F01"	"sole"	"Tzsr-w"	2.078
"F02"	"sole"	"Tzsr-w"	1.697
"F03"	"sole"	"Tzsr-w"	3.081
"F04"	"sole"	"Tzsr-w"	1.205
"F05"	"sole"	"Tzsr-w"	2.205
"F06"	"sole"	"Tzsr-w"	1.24
"F07"	"sole"	"Tzsr-w"	2.573
"F08"	"sole"	"Tzsr-w"	1.842
"F09"	"sole"	"Tzsr-w"	2.408
"F10"	"sole"	"Tzsr-w"	1.686
"F11"	"sole"	"Tzsr-w"	1.648
"F12"	"sole"	"Tzsr-w"	1.545
"F13"	"sole"	"Tzsr-w"	2.096
"F14"	"sole"	"Tzsr-w"	1.675
"F15"	"sole"	"Tzsr-w"	3.474
"F16"	"sole"	"Tzsr-w"	3.081
"F17"	"sole"	"Tzsr-w"	0.048
"F18"	"sole"	"Tzsr-w"	2.628
"F19"	"sole"	"Tzsr-w"	1.909
"F20"	"sole"	"Tzsr-w"	1.429
"F21"	"sole"	"Tzsr-w"	2.216
"F22"	"sole"	"Tzsr-w"	1.921
"F23"	"sole"	"Tzsr-w"	0.79
"F24"	"sole"	"Tzsr-w"	1.49
"F25"	"sole"	"Tzsr-w"	1.031
"F01"	"pigeonpea"	"Tzsr-w"	2.444
"F02"	"pigeonpea"	"Tzsr-w"	2.684
"F03"	"pigeonpea"	"Tzsr-w"	3.76
"F04"	"pigeonpea"	"Tzsr-w"	1.194
"F05"	"pigeonpea"	"Tzsr-w"	2.273
"F06"	"pigeonpea"	"Tzsr-w"	1.651
"F07"	"pigeonpea"	"Tzsr-w"	3.129
"F08"	"pigeonpea"	"Tzsr-w"	0.578
"F09"	"pigeonpea"	"Tzsr-w"	1.647
"F10"	"pigeonpea"	"Tzsr-w"	0.712
"F11"	"pigeonpea"	"Tzsr-w"	2.225
"F12"	"pigeonpea"	"Tzsr-w"	1.796
"F13"	"pigeonpea"	"Tzsr-w"	2.802
"F14"	"pigeonpea"	"Tzsr-w"	1.942
"F15"	"pigeonpea"	"Tzsr-w"	3.023
"F16"	"pigeonpea"	"Tzsr-w"	3.551
"F17"	"pigeonpea"	"Tzsr-w"	0.159
"F18"	"pigeonpea"	"Tzsr-w"	1.99
"F19"	"pigeonpea"	"Tzsr-w"	2.45
"F20"	"pigeonpea"	"Tzsr-w"	0.661
"F21"	"pigeonpea"	"Tzsr-w"	1.901
"F22"	"pigeonpea"	"Tzsr-w"	2.282
"F23"	"pigeonpea"	"Tzsr-w"	0.722
"F24"	"pigeonpea"	"Tzsr-w"	1.497
"F25"	"pigeonpea"	"Tzsr-w"	1.327
"F01"	"sole"	"Hybrid"	3.544
"F02"	"sole"	"Hybrid"	2.984
"F03"	"sole"	"Hybrid"	4.13
"F04"	"sole"	"Hybrid"	2.062
"F05"	"sole"	"Hybrid"	2.044
