"row"	"col"	"yield"
1	1	553
2	1	578
3	1	578
4	1	550
5	1	555
6	1	589
7	1	600
8	1	598
9	1	578
10	1	567
11	1	589
12	1	590
13	1	550
14	1	555
15	1	589
16	1	567
17	1	603
18	1	605
19	1	598
20	1	592
21	1	580
22	1	578
23	1	565
24	1	577
1	2	560
2	2	566
3	2	598
4	2	590
5	2	587
6	2	566
7	2	567
8	2	587
9	2	550
10	2	576
11	2	556
12	2	588
13	2	607
14	2	575
15	2	580
16	2	576
17	2	567
18	2	583
19	2	553
20	2	596
21	2	568
22	2	567
23	2	572
24	2	559
1	3	562
2	3	556
3	3	576
4	3	588
5	3	580
6	3	576
7	3	575
8	3	564
9	3	560
10	3	566
11	3	589
12	3	602
13	3	605
14	3	576
15	3	588
16	3	576
17	3	570
18	3	569
19	3	565
20	3	572
21	3	592
22	3	573
23	3	570
24	3	565
1	4	587
2	4	597
3	4	605
4	4	602
5	4	600
6	4	593
7	4	587
8	4	592
9	4	584
10	4	550
11	4	556
12	4	560
13	4	565
14	4	574
15	4	581
16	4	573
17	4	583
18	4	577
19	4	586
20	4	570
21	4	575
22	4	586
23	4	580
24	4	584
1	5	592
2	5	583
3	5	575
4	5	564
5	5	560
6	5	574
7	5	586
8	5	573
9	5	556
10	5	588
11	5	566
12	5	565
13	5	552
14	5	560
15	5	567
16	5	568
17	5	570
18	5	573
19	5	580
20	5	567
21	5	579
22	5	582
23	5	590
24	5	600
1	6	592
2	6	573
3	6	558
4	6	586
5	6	583
6	6	572
7	6	570
8	6	577
9	6	560
10	6	555
11	6	566
12	6	578
13	6	598
14	6	595
15	6	592
16	6	589
17	6	576
18	6	603
19	6	592
20	6	585
21	6	593
22	6	586
23	6	599
24	6	601
1	7	598
2	7	566
3	7	575
4	7	576
5	7	589
6	7	580
7	7	576
8	7	586
9	7	592
10	7	600
11	7	603
12	7	602
13	7	599
14	7	574
15	7	583
16	7	592
17	7	556
18	7	590
19	7	595
20	7	587
21	7	576
22	7	566
23	7	560
24	7	568
1	8	597
2	8	578
3	8	586
4	8	588
5	8	608
6	8	600
7	8	599
8	8	567
9	8	578
10	8	579
11	8	569
12	8	567
13	8	575
14	8	570
15	8	596
16	8	558
17	8	590
18	8	558
19	8	567
20	8	576
21	8	580
22	8	576
23	8	589
24	8	563
1	9	595
2	9	607
3	9	600
4	9	610
5	9	578
6	9	571
7	9	574
8	9	597
9	9	583
10	9	593
11	9	594
12	9	598
13	9	574
14	9	685
15	9	607
16	9	605
17	9	578
18	9	589
19	9	596
20	9	579
21	9	574
22	9	595
23	9	600
24	9	605
1	10	560
2	10	550
3	10	559
4	10	583
5	10	555
6	10	565
7	10	574
8	10	598
9	10	587
10	10	576
11	10	554
12	10	590
13	10	589
14	10	578
15	10	558
16	10	555
17	10	578
18	10	583
19	10	595
20	10	590
21	10	578
22	10	584
23	10	596
24	10	605
1	11	608
2	11	600
3	11	598
4	11	590
5	11	569
6	11	589
7	11	579
8	11	577
9	11	594
10	11	599
11	11	588
12	11	574
13	11	567
14	11	588
15	11	566
16	11	590
17	11	594
18	11	589
19	11	567
20	11	589
21	11	595
22	11	590
23	11	568
24	11	598
1	12	560
2	12	555
3	12	559
4	12	558
5	12	554
6	12	550
7	12	561
8	12	564
9	12	563
10	12	569
11	12	589
12	12	568
13	12	585
14	12	575
15	12	594
16	12	567
17	12	578
18	12	578
19	12	598
20	12	558
21	12	599
22	12	567
23	12	578
24	12	587
