"year"	"nitro"	"yield"
1970	0	155.55
1971	0	178.5
1972	0	161.5
1973	0	211.65
1974	0	251.6
1975	0	183.6
1976	0	120.7
1977	0	189.55
1978	0	100.3
1979	0	121.55
1980	0	146.2
1981	0	120.7
1982	0	131
1983	0	49
1984	0	122
1985	0	58
1986	0	98
1987	0	119
1988	0	33
1970	3.88	269.45
1971	3.88	272.85
1972	3.88	272.85
1973	3.88	320.45
1974	3.88	385.05
1975	3.88	294.1
1976	3.88	169.15
1977	3.88	285.6
1978	4.65	289
1979	4.65	233.75
1980	4.65	289.85
1981	4.65	298.35
1982	4.65	291
1983	4.65	194
1984	4.65	298
1985	4.65	224
1986	4.65	154
1987	4.65	213
1988	4.65	163
1970	7.76	319.6
1971	7.76	351.05
1972	7.76	317.05
1973	7.76	392.7
1974	7.76	496.4
1975	7.76	389.3
1976	7.76	207.4
1977	7.76	329.8
1978	9.3	437.75
1979	9.3	300.05
1980	9.3	346.8
1981	9.3	372.3
1982	9.3	375
1983	9.3	312
1984	9.3	410
1985	9.3	317
1986	9.3	197
1987	9.3	280
1988	9.3	288
1970	11.64	354.45
1971	11.64	357
1972	11.64	277.95
1973	11.64	408
1974	11.64	563.55
1975	11.64	471.75
1976	11.64	213.35
1977	11.64	357
1978	13.95	473.45
1979	13.95	292.4
1980	13.95	336.6
1981	13.95	375.7
1982	13.95	420
1983	13.95	380
1984	13.95	366
1985	13.95	304
1986	13.95	205
1987	13.95	315
1988	13.95	326
