"expt"	"row"	"col"	"yield"
"E1"	1	1	4.3
"E1"	2	1	3.7
"E1"	3	1	3.4
"E1"	4	1	4
"E1"	5	1	4.9
"E1"	6	1	4
"E1"	7	1	3.7
"E1"	8	1	3.8
"E1"	9	1	3.7
"E1"	10	1	4.6
"E1"	11	1	4.4
"E1"	12	1	3.9
"E1"	13	1	4.5
"E1"	14	1	3.8
"E1"	15	1	3.7
"E1"	16	1	4.4
"E1"	17	1	3.9
"E1"	18	1	3.1
"E1"	19	1	4.9
"E1"	20	1	4
"E1"	21	1	5
"E1"	22	1	5.1
"E1"	23	1	3.5
"E1"	24	1	3.9
"E1"	25	1	2.7
"E1"	26	1	4.5
"E1"	27	1	6
"E1"	28	1	5.2
"E1"	29	1	5.8
"E1"	30	1	5.2
"E1"	31	1	4.6
"E1"	32	1	3.5
"E1"	33	1	3.9
"E1"	34	1	4.9
"E1"	35	1	4.5
"E1"	36	1	5.5
"E1"	1	2	1.9
"E1"	2	2	4.1
"E1"	3	2	4.4
"E1"	4	2	5.2
"E1"	5	2	4.3
"E1"	6	2	4.7
"E1"	7	2	3.8
"E1"	8	2	3.5
"E1"	9	2	4.7
"E1"	10	2	4
"E1"	11	2	4.5
"E1"	12	2	3.9
"E1"	13	2	4
"E1"	14	2	3.9
"E1"	15	2	3.8
"E1"	16	2	5.2
"E1"	17	2	5.6
"E1"	18	2	4.8
"E1"	19	2	5.1
"E1"	20	2	4.4
"E1"	21	2	5.2
"E1"	22	2	4.6
"E1"	23	2	4.2
"E1"	24	2	3.4
"E1"	25	2	3.6
"E1"	26	2	4.7
"E1"	27	2	5.7
"E1"	28	2	5.1
"E1"	29	2	5.4
"E1"	30	2	4.9
"E1"	31	2	4.5
"E1"	32	2	4.3
"E1"	33	2	5.5
"E1"	34	2	4.2
"E1"	35	2	4.2
"E1"	36	2	5.1
"E1"	1	3	3.4
"E1"	2	3	3
"E1"	3	3	2.3
"E1"	4	3	3.4
"E1"	5	3	4.4
"E1"	6	3	4.6
"E1"	7	3	3.2
"E1"	8	3	3.7
"E1"	9	3	3.9
"E1"	10	3	3.7
"E1"	11	3	3.9
"E1"	12	3	6.7
"E1"	13	3	4.5
"E1"	14	3	3.4
"E1"	15	3	3.4
"E1"	16	3	4.2
"E1"	17	3	5.9
"E1"	18	3	4.9
"E1"	19	3	4.1
"E1"	20	3	4.9
"E1"	21	3	4.6
"E1"	22	3	4.2
"E1"	23	3	4.2
"E1"	24	3	4.2
"E1"	25	3	3.6
"E1"	26	3	4.8
"E1"	27	3	5.5
"E1"	28	3	3.8
"E1"	29	3	4.2
"E1"	30	3	5.2
"E1"	31	3	4.1
"E1"	32	3	4.5
"E1"	33	3	5.4
"E1"	34	3	3.6
"E1"	35	3	2.4
"E1"	36	3	5.5
"E1"	1	4	4.1
"E1"	2	4	3.7
"E1"	3	4	4.3
"E1"	4	4	3.6
"E1"	5	4	3.8
"E1"	6	4	3.7
"E1"	7	4	3.4
"E1"	8	4	3.4
"E1"	9	4	5.4
"E1"	10	4	3.3
"E1"	11	4	3.7
"E1"	12	4	4.3
"E1"	13	4	4.1
"E1"	14	4	4.2
"E1"	15	4	4.5
"E1"	16	4	3.2
"E1"	17	4	4.5
"E1"	18	4	5.4
"E1"	19	4	4.4
"E1"	20	4	4.9
"E1"	21	4	4.9
"E1"	22	4	4.9
"E1"	23	4	5.5
"E1"	24	4	4.8
"E1"	25	4	4.4
"E1"	26	4	3.6
"E1"	27	4	4.9
"E1"	28	4	4.5
"E1"	29	4	5.1
"E1"	30	4	4.7
"E1"	31	4	4.9
"E1"	32	4	5
"E1"	33	4	4.7
"E1"	34	4	3.9
"E1"	35	4	3.8
"E1"	36	4	5
"E1"	1	5	5.7
"E1"	2	5	3.3
"E1"	3	5	4.8
"E1"	4	5	3.8
"E1"	5	5	4.2
"E1"	6	5	4.9
"E1"	7	5	4.9
"E1"	8	5	3.1
"E1"	9	5	4.5
"E1"	10	5	3.6
"E1"	11	5	4.4
"E1"	12	5	5.9
"E1"	13	5	4.9
"E1"	14	5	4.7
"E1"	15	5	4.2
"E1"	16	5	5.2
"E1"	17	5	4.8
"E1"	18	5	6.9
"E1"	19	5	4.7
"E1"	20	5	5.9
"E1"	21	5	5.6
"E1"	22	5	5
"E1"	23	5	5.4
"E1"	24	5	4.6
"E1"	25	5	3.3
"E1"	26	5	4.5
"E1"	27	5	5.7
"E1"	28	5	4.7
"E1"	29	5	4.2
"E1"	30	5	4.9
"E1"	31	5	3.7
"E1"	32	5	5
"E1"	33	5	5
"E1"	34	5	3.6
"E1"	35	5	3.3
"E1"	36	5	4.6
"E1"	1	6	3.8
"E1"	2	6	2.9
"E1"	3	6	2.4
"E1"	4	6	4.7
"E1"	5	6	2.9
"E1"	6	6	3.3
"E1"	7	6	2.8
"E1"	8	6	4.6
"E1"	9	6	3.6
"E1"	10	6	4.9
