"row"	"col"	"yield"
1	1	2.1
2	1	3.8
3	1	5.9
4	1	4.6
5	1	4.7
6	1	5.3
7	1	5.2
8	1	6.2
9	1	4.2
10	1	5.3
11	1	4.6
12	1	5.4
13	1	6
14	1	5
15	1	4.9
16	1	4.6
17	1	4.6
18	1	5
19	1	5.1
20	1	3.9
21	1	6
22	1	5.9
23	1	5.2
24	1	4.6
25	1	5
26	1	5.2
27	1	4.1
28	1	4
29	1	5.4
30	1	5.5
31	1	4.5
32	1	5.3
33	1	5.6
34	1	5.6
35	1	5
36	1	4.9
1	2	3.2
2	2	6.2
3	2	5.2
4	2	4.7
5	2	4.5
6	2	5.9
7	2	6.3
8	2	5
9	2	5.5
10	2	5.9
11	2	6.5
12	2	3.8
13	2	5.7
14	2	5.9
15	2	4.8
16	2	6.7
17	2	5.3
18	2	6.1
19	2	4.4
20	2	5
21	2	5.2
22	2	6.4
23	2	5.8
24	2	4.2
25	2	5.6
26	2	5.6
27	2	5.6
28	2	5.3
29	2	5
30	2	5.4
31	2	4.8
32	2	6.9
33	2	5.6
34	2	5.3
35	2	5.3
36	2	4.4
1	3	5.4
2	3	5.9
3	3	6.7
4	3	5.2
5	3	5.7
6	3	5.5
7	3	5.6
8	3	5
9	3	5.1
10	3	4.9
11	3	6.3
12	3	3.6
13	3	5.3
14	3	5.1
15	3	5.9
16	3	4.8
17	3	5.4
18	3	5.2
19	3	5
20	3	5
21	3	5
22	3	5.3
23	3	5.7
24	3	6
25	3	5.3
26	3	4.7
27	3	5.5
28	3	5
29	3	5.4
30	3	4.7
31	3	5.5
32	3	5.6
33	3	5.3
34	3	4.3
35	3	5.4
36	3	6.1
1	4	4.4
2	4	6
3	4	4.8
4	4	4.6
5	4	4.5
6	4	5
7	4	5
8	4	5.4
9	4	5
10	4	5
11	4	5.1
12	4	4.4
13	4	5.7
14	4	5.2
15	4	5
16	4	5.4
17	4	4.5
18	4	4.5
19	4	4.4
20	4	5.4
21	4	5
22	4	6.3
23	4	4.9
24	4	4
25	4	5.4
26	4	4.6
27	4	5.4
28	4	4.4
29	4	5.2
30	4	6.8
31	4	5.6
32	4	5
33	4	4.8
34	4	4.4
35	4	6
36	4	5
1	5	2.6
2	5	4.4
3	5	5.4
4	5	5
5	5	5.3
6	5	4.4
7	5	5
8	5	5.3
9	5	3.8
10	5	5.6
11	5	4.7
12	5	2.5
13	5	4.2
14	5	5.3
15	5	5.1
16	5	5.5
17	5	4.9
18	5	4
19	5	5.1
20	5	3.6
21	5	4.8
22	5	5
23	5	4.9
24	5	4.8
25	5	4.1
26	5	4.4
27	5	4.9
28	5	5
29	5	4.2
30	5	4.9
31	5	4.2
32	5	6.2
33	5	4.1
34	5	4.6
35	5	3.1
36	5	4.3
1	6	4.2
2	6	5.7
3	6	3.8
4	6	3.5
5	6	3.2
6	6	4.5
7	6	5.8
8	6	5.4
9	6	4.1
10	6	4.9
11	6	5.6
12	6	2.3
13	6	4.5
14	6	5.1
15	6	3.5
16	6	5.1
17	6	4.8
18	6	4.5
19	6	5.9
20	6	5
21	6	5.3
22	6	5.8
23	6	4.6
24	6	4.2
25	6	4.8
26	6	5.1
27	6	4.6
28	6	5.2
29	6	5.4
30	6	5
31	6	5.7
32	6	5.1
33	6	5
34	6	5.4
35	6	3.6
36	6	5.8
1	7	4.7
2	7	4.6
3	7	4.7
4	7	4
5	7	4.8
6	7	3.8
7	7	6.4
8	7	6.6
9	7	5.1
10	7	6.6
11	7	5.9
12	7	2.9
13	7	5.5
14	7	4.8
15	7	3.8
16	7	6.8
17	7	5.4
18	7	6
19	7	5.4
20	7	3.8
21	7	5.2
22	7	5
23	7	5.9
24	7	4.5
25	7	5.4
26	7	4.7
27	7	4
28	7	4.3
29	7	5.8
30	7	4.6
31	7	6.1
32	7	6
33	7	5.7
34	7	5.7
35	7	4.9
36	7	4.5
1	8	4.3
2	8	5.3
3	8	4.2
4	8	4.7
5	8	5.1
6	8	5.4
7	8	5.7
8	8	5.8
9	8	4.3
10	8	4.9
11	8	3.7
12	8	3.2
13	8	5
14	8	4.7
15	8	4.1
16	8	6.1
17	8	5.2
18	8	4
19	8	5.3
20	8	4.3
21	8	5
22	8	4.4
23	8	4.8
24	8	4.9
25	8	5.1
26	8	5
27	8	5.6
28	8	5.5
29	8	5.3
30	8	4.1
31	8	4.2
32	8	5.2
33	8	5.4
34	8	4.9
35	8	5.7
36	8	3.4
1	9	3.5
2	9	5.1
3	9	4.7
4	9	3.8
5	9	5.4
6	9	4.9
7	9	5.2
8	9	5.2
9	9	5.8
10	9	4.6
11	9	5
12	9	4
13	9	5.5
14	9	5.6
15	9	4.6
16	9	5.1
17	9	5.4
18	9	4.3
19	9	5.2
20	9	4.6
21	9	4.5
22	9	4.5
23	9	4.9
24	9	5.6
25	9	6.1
26	9	4.8
27	9	6
28	9	4.3
29	9	5.5
30	9	4.9
31	9	5.4
32	9	5.2
33	9	5.7
34	9	4.6
35	9	5.8
36	9	2.6
1	10	4.9
2	10	5
3	10	5
4	10	3.5
5	10	5.7
6	10	5.2
7	10	4.9
8	10	5.5
9	10	4.9
10	10	5.7
11	10	5
12	10	3.5
13	10	5.7
14	10	4.7
15	10	4.9
16	10	5.6
17	10	5.5
18	10	4.6
19	10	4.9
20	10	4.8
21	10	5.4
22	10	5.5
23	10	4.5
24	10	4.6
25	10	5.2
26	10	5.2
27	10	4.6
28	10	5.6
29	10	4.6
30	10	5.5
31	10	6.2
32	10	5.8
33	10	5.4
34	10	4.7
35	10	5.5
36	10	4.8
1	11	4.6
2	11	5.4
3	11	4.4
4	11	4.7
5	11	5.5
6	11	5.4
7	11	5.6
8	11	5.8
9	11	4.3
10	11	6
11	11	5.5
12	11	4.2
13	11	5.2
14	11	4.8
15	11	4.7
16	11	5.5
17	11	5
18	11	5.5
19	11	5.7
20	11	4
21	11	5.8
22	11	5.6
23	11	6.1
24	11	4.6
25	11	5.6
26	11	4.8
27	11	5
28	11	5.3
29	11	5.6
30	11	5.5
31	11	5
32	11	4.5
33	11	5.8
34	11	6.8
35	11	5.5
36	11	5.1
1	12	3.7
2	12	4.9
3	12	4.1
4	12	5.4
5	12	4.7
6	12	4.3
7	12	5.5
8	12	5.3
9	12	5.2
10	12	5
11	12	5.9
12	12	3.2
13	12	5.7
14	12	4.8
15	12	5
16	12	5
17	12	4.7
18	12	4.3
19	12	5.3
20	12	4.1
21	12	4.9
22	12	5.4
23	12	5.1
24	12	4.6
25	12	5.4
26	12	5.3
27	12	5
28	12	4.6
29	12	5
30	12	5.3
31	12	5.6
32	12	4.5
33	12	4.9
34	12	6.8
35	12	5.8
36	12	4.1
1	13	3.8
2	13	4.9
3	13	5.1
4	13	5.3
5	13	5.5
6	13	5.6
7	13	5.8
8	13	5.7
9	13	5.3
10	13	5.7
11	13	5.4
12	13	3.9
13	13	5.5
14	13	5
15	13	5.1
16	13	4.4
17	13	5.2
18	13	4.7
19	13	5.5
20	13	4.8
21	13	5
22	13	5.7
23	13	4.5
24	13	5.1
25	13	4.9
26	13	5.7
27	13	4.2
28	13	6.1
29	13	5.1
30	13	4
31	13	4.9
32	13	5.2
33	13	7.1
34	13	5.1
35	13	7.3
36	13	5.5
1	14	3.7
2	14	4.1
3	14	4.7
4	14	5.1
5	14	4
6	14	6.3
7	14	5.7
8	14	6.5
9	14	5.2
10	14	4.9
11	14	4.8
12	14	4.8
13	14	4.9
14	14	4.8
15	14	5.2
16	14	4.8
17	14	4.8
18	14	5.5
19	14	4.3
20	14	4.8
21	14	4.5
22	14	5.1
23	14	5.3
24	14	4.5
25	14	5.1
26	14	5.3
27	14	5.4
28	14	5.1
29	14	6.3
30	14	4.8
31	14	4.9
32	14	5.7
33	14	5.1
34	14	4.4
35	14	5.5
36	14	5.8
1	15	4
2	15	4.8
3	15	5.5
4	15	4.4
5	15	5.4
6	15	6.7
7	15	5.7
8	15	5.5
9	15	5.1
10	15	5.1
11	15	5.3
12	15	4.8
13	15	5.4
14	15	4.7
15	15	5
16	15	4.4
17	15	4.9
18	15	5.3
19	15	4.8
20	15	5.4
21	15	5.4
22	15	5.3
23	15	4.1
24	15	6.1
25	15	5.8
26	15	5.3
27	15	5.1
28	15	4.9
29	15	5.2
30	15	5.7
31	15	5.3
32	15	5.6
33	15	5.4
34	15	5.1
35	15	6.5
36	15	5.8
1	16	4.3
2	16	4.8
3	16	4.4
4	16	4.8
5	16	4.6
6	16	5.3
7	16	5.7
8	16	6.1
9	16	4.7
10	16	4.9
11	16	4.7
12	16	5.3
13	16	5.3
14	16	4.8
15	16	5.3
16	16	5.6
17	16	4.9
18	16	5.1
19	16	4.9
20	16	5.2
21	16	5.4
22	16	4.5
23	16	5.2
24	16	5.4
25	16	4.6
26	16	4.9
27	16	5.5
28	16	5
29	16	5.1
30	16	5.1
31	16	4.9
32	16	5.3
33	16	5.7
34	16	5.7
35	16	5
36	16	4.5
1	17	4.1
2	17	5
3	17	4.9
4	17	5.1
5	17	4.2
6	17	5.8
7	17	5.3
8	17	5.4
9	17	5.3
10	17	4.7
11	17	5.1
12	17	4.7
13	17	6
14	17	3.7
15	17	4.9
16	17	4.2
17	17	4.9
18	17	4.9
19	17	4.9
20	17	4.3
21	17	4.5
22	17	4.7
23	17	5.4
24	17	5
25	17	5
26	17	5.2
27	17	4.8
28	17	4.8
29	17	6
30	17	5
31	17	5.7
32	17	5.2
33	17	5.5
34	17	5.2
35	17	4.8
36	17	5.3
1	18	4.6
2	18	5
3	18	4.9
4	18	5.2
5	18	4.8
6	18	5.9
7	18	4.9
8	18	5.2
9	18	5.5
10	18	5.2
11	18	4.8
12	18	4.2
13	18	4.8
14	18	5.4
15	18	4.6
16	18	5.3
17	18	5
18	18	4.9
19	18	5.4
20	18	4
21	18	5.2
22	18	4.6
23	18	5.1
24	18	4.8
25	18	5
26	18	4.4
27	18	4.7
28	18	5.5
29	18	4.6
30	18	4.8
31	18	5.2
32	18	5
33	18	5.8
34	18	5.5
35	18	4.6
36	18	4.5
1	19	4.5
2	19	5.6
3	19	6.1
4	19	5.1
5	19	6.5
6	19	5.5
7	19	5.1
8	19	6.1
9	19	5.5
10	19	5.1
11	19	5.4
12	19	5.3
13	19	5
14	19	6.5
15	19	5.4
16	19	4.7
17	19	4.7
18	19	5.5
19	19	4.5
20	19	5.1
21	19	5.1
22	19	6.3
23	19	5.1
24	19	5.8
25	19	5.1
26	19	6.6
27	19	4.8
28	19	4.5
29	19	5.2
30	19	5.6
31	19	5.5
32	19	6.1
33	19	5.5
34	19	5.4
35	19	5.4
36	19	4.7
1	20	4.3
2	20	5.7
3	20	5.7
4	20	4.6
5	20	5.8
6	20	6.4
7	20	6.1
8	20	5.9
9	20	5.8
10	20	5.4
11	20	6
12	20	4.1
13	20	4.8
14	20	5.4
15	20	5.1
16	20	5.6
17	20	5.5
18	20	5
19	20	6.5
20	20	4.5
21	20	4.9
22	20	5
23	20	5.7
24	20	4.9
25	20	5.7
26	20	5.2
27	20	5.2
28	20	5.2
29	20	5.3
30	20	5.2
31	20	5.3
32	20	5.5
33	20	5.6
34	20	5.6
