"field"	"sample"	"x"	"y"	"nitro"	"carbon"
"Davis"	1	0	210	0.104	1.167
"Davis"	2	0	180	0.086	1.048
"Davis"	3	0	150	0.08	0.958
"Davis"	4	0	120	0.092	1.069
"Davis"	5	0	90	0.099	1.071
"Davis"	6	0	60	0.098	1.132
"Davis"	7	0	30	0.107	1.124
"Davis"	8	0	0	0.117	1.195
"Davis"	9	30	210	0.105	1.059
"Davis"	10	30	180	0.093	1.084
"Davis"	11	30	150	0.086	1.077
"Davis"	12	30	120	0.091	0.997
"Davis"	13	30	90	0.082	0.896
"Davis"	14	30	60	0.105	1.198
"Davis"	15	30	30	0.114	1.218
"Davis"	16	30	0	0.108	1.157
"Davis"	17	60	210	0.094	0.97
"Davis"	18	60	180	0.099	1.048
"Davis"	19	60	150	0.086	0.965
"Davis"	20	60	120	0.093	1.04
"Davis"	21	60	90	0.092	1.014
"Davis"	22	60	60	0.105	1.122
"Davis"	23	60	30	0.123	1.329
"Davis"	24	60	0	0.107	1.075
"Davis"	25	90	210	0.096	1.048
"Davis"	26	90	180	0.088	0.978
"Davis"	27	90	150	0.1	1.091
"Davis"	28	90	120	0.106	0.998
"Davis"	29	90	90	0.105	1.147
"Davis"	30	90	60	0.104	1.112
"Davis"	31	90	30	0.11	1.154
"Davis"	32	90	0	0.115	1.244
"Davis"	33	120	210	0.093	0.997
"Davis"	34	120	180	0.103	1.052
"Davis"	35	120	150	0.101	1.045
"Davis"	36	120	120	0.106	1.019
"Davis"	37	120	90	0.103	1.12
"Davis"	38	120	60	0.113	1.215
"Davis"	39	120	30	0.11	1.202
"Davis"	40	120	0	0.111	1.167
"Davis"	41	150	210	0.093	1.007
"Davis"	42	150	180	0.091	0.973
"Davis"	43	150	150	0.096	1.1
"Davis"	44	150	120	0.1	1.135
"Davis"	45	150	90	0.097	1.052
"Davis"	46	150	60	0.096	1.034
"Davis"	47	150	30	0.104	1.09
"Davis"	48	150	0	0.116	1.252
"Davis"	49	180	210	0.093	0.993
"Davis"	50	180	180	0.109	1.18
"Davis"	51	180	150	0.107	1.126
"Davis"	52	180	120	0.102	1.153
"Davis"	53	180	90	0.106	1.256
"Davis"	54	180	60	0.106	1.25
"Davis"	55	180	30	0.118	1.254
"Davis"	56	180	0	0.124	1.383
"Davis"	57	210	210	0.101	0.973
"Davis"	58	210	180	0.09	1.001
"Davis"	59	210	150	0.101	0.973
"Davis"	60	210	120	0.101	1.12
"Davis"	61	210	90	0.098	1.051
"Davis"	62	210	60	0.098	1.101
"Davis"	63	210	30	0.107	1.195
"Davis"	64	210	0	0.101	1.254
"Davis"	65	240	210	0.086	1.088
"Davis"	66	240	180	0.103	1.137
"Davis"	67	240	150	0.088	1.009
"Davis"	68	240	120	0.094	1.078
"Davis"	69	240	90	0.1	1.173
"Davis"	70	240	60	0.097	1.071
"Davis"	71	240	30	0.106	1.168
"Davis"	72	240	0	0.116	1.365
"Davis"	73	270	210	0.077	0.977
"Davis"	74	270	180	0.09	1.161
"Davis"	75	270	150	0.095	1.048
"Davis"	76	270	120	0.093	1.123
"Davis"	77	270	90	0.101	1.267
"Davis"	78	270	60	0.104	1.107
"Davis"	79	270	30	0.106	1.186
"Davis"	80	270	0	0.116	1.289
"Davis"	81	45	180	0.103	1.108
"Davis"	82	45	165	0.091	0.986
"Davis"	83	45	150	0.078	0.903
"Davis"	84	225	180	0.091	1.161
"Davis"	85	225	165	0.094	1
"Davis"	86	225	150	0.096	1.042
"Davis"	87	225	60	0.099	1.288
"Davis"	88	225	45	0.107	1.352
"Davis"	89	225	30	0.115	1.232
"Davis"	90	45	60	0.103	1.109
"Davis"	91	45	45	0.112	1.251
"Davis"	92	45	30	0.116	1.322
"Davis"	93	140	120	0.102	1.088
"Davis"	94	140	105	0.098	0.989
"Davis"	95	140	90	0.095	1.997
"Davis"	96	130	120	0.097	1.093
"Davis"	97	130	105	0.098	1.114
"Davis"	98	130	90	0.099	1.063
"Davis"	99	120	105	0.097	1.064
"Davis"	100	150	105	0.103	1.092
"Oakley"	1	0	210	0.042	0.624
"Oakley"	2	0	180	0.032	0.417
"Oakley"	3	0	150	0.027	0.365
"Oakley"	4	0	120	0.022	0.179
"Oakley"	5	0	90	0.029	0.355
"Oakley"	6	0	60	0.026	0.383
"Oakley"	7	0	30	0.027	0.279
"Oakley"	8	0	0	0.031	0.404
"Oakley"	9	30	210	0.042	0.565
"Oakley"	10	30	180	0.032	0.42
"Oakley"	11	30	150	0.024	0.33
"Oakley"	12	30	120	0.024	0.361
"Oakley"	13	30	90	0.031	0.349
"Oakley"	14	30	60	0.032	0.314
"Oakley"	15	30	30	0.033	0.475
"Oakley"	16	30	0	0.042	0.33
"Oakley"	17	60	210	0.042	0.499
"Oakley"	18	60	180	0.028	0.314
"Oakley"	19	60	150	0.027	0.402
"Oakley"	20	60	120	0.021	0.428
"Oakley"	21	60	90	0.037	0.421
"Oakley"	22	60	60	0.022	0.308
"Oakley"	23	60	30	0.036	0.345
"Oakley"	24	60	0	0.034	0.345
"Oakley"	25	90	210	0.041	0.524
"Oakley"	26	90	180	0.029	0.377
"Oakley"	27	90	150	0.025	0.382
"Oakley"	28	90	120	0.029	0.45
"Oakley"	29	90	90	0.034	0.453
"Oakley"	30	90	60	0.026	0.292
"Oakley"	31	90	30	0.027	0.345
"Oakley"	32	90	0	0.031	0.45
"Oakley"	33	120	210	0.042	0.507
"Oakley"	34	120	180	0.027	0.314
"Oakley"	35	120	150	0.026	0.341
"Oakley"	36	120	120	0.028	0.252
"Oakley"	37	120	90	0.035	0.319
"Oakley"	38	120	60	0.027	0.346
"Oakley"	39	120	30	0.026	0.368
"Oakley"	40	120	0	0.031	0.524
"Oakley"	41	150	210	0.052	0.45
"Oakley"	42	150	180	0.03	0.314
"Oakley"	43	150	150	0.031	0.396
"Oakley"	44	150	120	0.028	0.381
"Oakley"	45	150	90	0.032	0.502
"Oakley"	46	150	60	0.029	0.404
"Oakley"	47	150	30	0.03	0.48
"Oakley"	48	150	0	0.032	0.382
"Oakley"	49	180	210	0.046	0.426
"Oakley"	50	180	180	0.031	0.718
"Oakley"	51	180	150	0.033	0.456
"Oakley"	52	180	120	0.032	0.488
"Oakley"	53	180	90	0.034	0.443
"Oakley"	54	180	60	0.033	0.45
"Oakley"	55	180	30	0.034	0.516
"Oakley"	56	180	0	0.033	0.352
"Oakley"	57	210	210	0.052	0.742
"Oakley"	58	210	180	0.034	0.461
"Oakley"	59	210	150	0.031	0.475
"Oakley"	60	210	120	0.031	0.534
"Oakley"	61	210	90	0.031	0.42
"Oakley"	62	210	60	0.032	0.458
"Oakley"	63	210	30	0.032	0.466
"Oakley"	64	210	0	0.034	0.45
"Oakley"	65	240	210	0.045	0.647
