y	site	gen
0.05	S1	G01
0	S1	G02
0	S1	G03
0.1	S1	G04
0.25	S1	G05
0.05	S1	G06
0.5	S1	G07
1.3	S1	G08
1.5	S1	G09
1.5	S1	G10
0	S2	G01
0.05	S2	G02
0.05	S2	G03
0.3	S2	G04
0.75	S2	G05
0.3	S2	G06
3	S2	G07
7.5	S2	G08
1	S2	G09
12.7	S2	G10
1.25	S3	G01
1.25	S3	G02
2.5	S3	G03
16.6	S3	G04
2.5	S3	G05
2.5	S3	G06
0	S3	G07
20	S3	G08
37.5	S3	G09
26.25	S3	G10
2.5	S4	G01
0.5	S4	G02
0.01	S4	G03
3	S4	G04
2.5	S4	G05
0.01	S4	G06
25	S4	G07
55	S4	G08
5	S4	G09
40	S4	G10
5.5	S5	G01
1	S5	G02
6	S5	G03
1.1	S5	G04
2.5	S5	G05
8	S5	G06
16.5	S5	G07
29.5	S5	G08
20	S5	G09
43.5	S5	G10
1	S6	G01
5	S6	G02
5	S6	G03
5	S6	G04
5	S6	G05
5	S6	G06
10	S6	G07
5	S6	G08
50	S6	G09
75	S6	G10
5	S7	G01
0.1	S7	G02
5	S7	G03
5	S7	G04
50	S7	G05
10	S7	G06
50	S7	G07
25	S7	G08
50	S7	G09
75	S7	G10
5	S8	G01
10	S8	G02
5	S8	G03
5	S8	G04
25	S8	G05
75	S8	G06
50	S8	G07
75	S8	G08
75	S8	G09
75	S8	G10
17.5	S9	G01
25	S9	G02
42.5	S9	G03
50	S9	G04
37.5	S9	G05
95	S9	G06
62.5	S9	G07
95	S9	G08
95	S9	G09
95	S9	G10
