"yield"	"gen"	"rep"	"col"	"row"
24.5	"G45"	"R1"	1	7
23.3	"G47"	"R1"	2	7
30.9	"G49"	"R1"	3	7
31.8	"G48"	"R1"	4	7
23.9	"G43"	"R1"	5	7
33.6	"G46"	"R1"	6	7
28.6	"G44"	"R1"	7	7
18	"G17"	"R1"	1	6
22.7	"G19"	"R1"	2	6
29	"G21"	"R1"	3	6
36.3	"G20"	"R1"	4	6
23.1	"G15"	"R1"	5	6
25.7	"G18"	"R1"	6	6
24.6	"G16"	"R1"	7	6
23.8	"G03"	"R1"	1	5
18	"G05"	"R1"	2	5
22.5	"G07"	"R1"	3	5
34.5	"G06"	"R1"	4	5
25.9	"G01"	"R1"	5	5
25.1	"G04"	"R1"	6	5
23.4	"G02"	"R1"	7	5
24	"G24"	"R1"	1	4
24	"G26"	"R1"	2	4
27.7	"G28"	"R1"	3	4
29.8	"G27"	"R1"	4	4
21.9	"G22"	"R1"	5	4
25.1	"G25"	"R1"	6	4
20.1	"G23"	"R1"	7	4
21.2	"G31"	"R1"	1	3
22.2	"G33"	"R1"	2	3
32.7	"G35"	"R1"	3	3
35.4	"G34"	"R1"	4	3
27.5	"G29"	"R1"	5	3
19.1	"G32"	"R1"	6	3
22.4	"G30"	"R1"	7	3
20.7	"G38"	"R1"	1	2
21.8	"G40"	"R1"	2	2
26.6	"G42"	"R1"	3	2
31.8	"G41"	"R1"	4	2
31.5	"G36"	"R1"	5	2
18	"G39"	"R1"	6	2
21.3	"G37"	"R1"	7	2
21.5	"G10"	"R1"	1	1
24.2	"G12"	"R1"	2	1
33	"G14"	"R1"	3	1
29.8	"G13"	"R1"	4	1
31.2	"G08"	"R1"	5	1
19.4	"G11"	"R1"	6	1
21.8	"G09"	"R1"	7	1
23.1	"G21"	"R2"	1	7
22.4	"G02"	"R2"	2	7
28.9	"G08"	"R2"	3	7
31.8	"G45"	"R2"	4	7
31	"G33"	"R2"	5	7
19.7	"G27"	"R2"	6	7
23.3	"G39"	"R2"	7	7
23	"G24"	"R2"	1	6
23.6	"G12"	"R2"	2	6
24.5	"G18"	"R2"	3	6
25.9	"G06"	"R2"	4	6
31.3	"G36"	"R2"	5	6
18	"G30"	"R2"	6	6
29.8	"G49"	"R2"	7	6
22.1	"G01"	"R2"	1	5
21.8	"G38"	"R2"	2	5
27.8	"G44"	"R2"	3	5
25.3	"G32"	"R2"	4	5
35.4	"G20"	"R2"	5	5
21.6	"G14"	"R2"	6	5
29.2	"G26"	"R2"	7	5
29	"G34"	"R2"	1	4
22.7	"G15"	"R2"	2	4
30.2	"G28"	"R2"	3	4
29.5	"G09"	"R2"	4	4
31.6	"G46"	"R2"	5	4
26.2	"G40"	"R2"	6	4
28.3	"G03"	"R2"	7	4
26.5	"G47"	"R2"	1	3
23.6	"G35"	"R2"	2	3
26.9	"G41"	"R2"	3	3
31	"G22"	"R2"	4	3
30.1	"G10"	"R2"	5	3
22.5	"G04"	"R2"	6	3
30.7	"G16"	"R2"	7	3
23.6	"G37"	"R2"	1	2
23.3	"G25"	"R2"	2	2
30.9	"G31"	"R2"	3	2
