"n"	"p"	"k"	"yield"
0	0	0	1.98
0	22	0	2.38
0	44	0	2.18
0	88	0	2.22
100	0	0	3.88
100	22	0	4.35
100	44	0	4.14
100	88	0	4.26
200	0	0	4.4
200	22	0	5.01
200	44	0	4.77
200	88	0	5.17
400	0	0	4.43
400	22	0	4.95
400	44	0	5.22
400	88	0	5.66
0	0	42	2.13
0	22	42	2.24
0	44	42	2.56
0	88	42	2.47
100	0	42	3.91
100	22	42	4.59
100	44	42	4.36
100	88	42	4.72
200	0	42	4.91
200	22	42	5.64
200	44	42	5.69
200	88	42	5.48
400	0	42	5.31
400	22	42	6.27
400	44	42	6.27
400	88	42	6.24
0	0	84	2.19
0	22	84	2.1
0	44	84	2.22
0	88	84	2.94
100	0	84	3.66
100	22	84	4.47
100	44	84	4.55
100	88	84	4.83
200	0	84	5.1
200	22	84	5.68
200	44	84	5.8
200	88	84	5.85
400	0	84	5.15
400	22	84	6.49
400	44	84	6.35
400	88	84	7.11
0	0	168	1.97
0	22	168	2.6
0	44	168	2.47
0	88	168	2.48
100	0	168	4.07
100	22	168	4.55
100	44	168	4.35
100	88	168	4.85
200	0	168	5.23
200	22	168	5.6
200	44	168	6.07
200	88	168	6.43
400	0	168	5.87
400	22	168	6.54
400	44	168	6.72
400	88	168	7.32
