row	col	yield
1	1	715
1	2	595
1	3	580
1	4	580
1	5	615
1	6	610
1	7	540
1	8	515
1	9	557
1	10	665
1	11	560
1	12	612
2	1	770
2	2	710
2	3	655
2	4	675
2	5	700
2	6	690
2	7	565
2	8	585
2	9	550
2	10	574
2	11	511
2	12	618
3	1	760
3	2	715
3	3	690
3	4	690
3	5	655
3	6	725
3	7	665
3	8	640
3	9	665
3	10	705
3	11	644
3	12	705
4	1	665
4	2	615
4	3	685
4	4	555
4	5	585
4	6	630
4	7	550
4	8	520
4	9	553
4	10	616
4	11	573
4	12	570
5	1	755
5	2	730
5	3	670
5	4	580
5	5	545
5	6	620
5	7	580
5	8	525
5	9	495
5	10	565
5	11	599
5	12	612
6	1	745
6	2	670
6	3	585
6	4	560
6	5	550
6	6	710
6	7	590
6	8	545
6	9	538
6	10	587
6	11	600
6	12	664
7	1	645
7	2	690
7	3	550
7	4	520
7	5	450
7	6	630
7	7	535
7	8	505
7	9	530
7	10	536
7	11	611
7	12	578
8	1	585
8	2	495
8	3	455
8	4	470
8	5	445
8	6	555
8	7	500
8	8	450
8	9	420
8	10	461
8	11	531
8	12	559
9	1	560
9	2	540
9	3	450
9	4	500
9	5	505
9	6	595
9	7	545
9	8	530
9	9	498
9	10	538
9	11	453
9	12	600
10	1	685
10	2	730
10	3	610
10	4	500
10	5	555
10	6	645
10	7	605
10	8	535
10	9	534
10	10	593
10	11	616
10	12	638
11	1	755
11	2	810
11	3	665
11	4	570
11	5	525
11	6	715
11	7	650
11	8	550
11	9	613
11	10	607
11	11	742
11	12	657
12	1	640
12	2	635
12	3	585
12	4	465
12	5	430
12	6	615
12	7	550
12	8	515
12	9	369
12	10	493
12	11	635
12	12	567
13	1	725
13	2	655
13	3	530
13	4	455
13	5	465
13	6	560
13	7	550
13	8	460
13	9	455
13	10	503
13	11	519
13	12	555
14	1	715
14	2	775
14	3	615
14	4	545
14	5	530
14	6	685
14	7	595
14	8	510
14	9	507
14	10	561
14	11	581
14	12	537
15	1	700
15	2	705
15	3	555
15	4	440
15	5	455
15	6	630
15	7	555
15	8	425
15	9	476
15	10	648
15	11	532
15	12	552
16	1	640
16	2	655
16	3	495
16	4	435
16	5	485
16	6	585
16	7	475
16	8	405
16	9	422
16	10	516
16	11	458
16	12	559
17	1	620
17	2	635
17	3	495
17	4	445
17	5	455
17	6	620
17	7	505
17	8	465
17	9	419
17	10	591
17	11	545
17	12	537
18	1	750
18	2	630
18	3	555
18	4	455
18	5	510
18	6	575
18	7	530
18	8	470
18	9	427
18	10	545
18	11	562
18	12	582
19	1	760
19	2	675
19	3	610
19	4	540
19	5	530
19	6	675
19	7	580
19	8	460
19	9	513
19	10	599
19	11	595
19	12	675
20	1	630
20	2	645
20	3	490
20	4	445
20	5	440
20	6	585
20	7	490
20	8	420
20	9	460
20	10	542
20	11	474
20	12	563
21	1	625
21	2	540
21	3	495
21	4	415
21	5	445
21	6	530
21	7	440
21	8	430
21	9	455
21	10	485
21	11	461
21	12	533
22	1	670
22	2	670
22	3	560
22	4	485
22	5	445
22	6	590
22	7	555
22	8	450
22	9	516
22	10	570
22	11	553
22	12	623
23	1	655
23	2	630
23	3	540
23	4	465
23	5	460
23	6	560
23	7	465
23	8	435
23	9	466
23	10	454
23	11	458
23	12	503
24	1	570
24	2	535
24	3	525
24	4	455
24	5	415
24	6	510
24	7	460
24	8	420
24	9	393
24	10	482
24	11	426
24	12	446
25	1	575
25	2	495
25	3	540
25	4	480
25	5	395
25	6	555
25	7	440
25	8	450
25	9	437
25	10	541
25	11	525
25	12	514
26	1	690
26	2	645
26	3	595
26	4	515
26	5	470
26	6	550
26	7	515
26	8	445
26	9	508
26	10	508
26	11	517
26	12	533
27	1	730
27	2	730
27	3	710
27	4	565
27	5	465
27	6	640
27	7	565
27	8	550
27	9	494
27	10	591
27	11	594
27	12	597
28	1	620
28	2	635
28	3	595
28	4	485
28	5	435
28	6	530
28	7	490
28	8	470
28	9	465
28	10	521
28	11	454
28	12	537
29	1	620
29	2	600
29	3	530
29	4	455
29	5	425
29	6	545
29	7	395
29	8	455
29	9	482
29	10	484
29	11	505
29	12	578
30	1	665
30	2	685
30	3	685
30	4	520
30	5	480
30	6	525
30	7	550
30	8	465
30	9	497
30	10	596
30	11	563
30	12	634
31	1	620
31	2	605
31	3	530
31	4	440
31	5	450
31	6	500
31	7	470
31	8	445
31	9	510
31	10	531
31	11	478
31	12	514
32	1	615
32	2	525
32	3	610
32	4	515
32	5	395
32	6	510
32	7	455
32	8	530
32	9	485
32	10	554
32	11	448
32	12	503
33	1	595
33	2	625
33	3	600
33	4	440
33	5	435
33	6	510
33	7	515
33	8	525
33	9	500
33	10	522
33	11	496
33	12	514
34	1	640
34	2	580
34	3	630
34	4	485
34	5	480
34	6	610
34	7	525
34	8	515
34	9	574
34	10	525
34	11	458
34	12	518
35	1	695
35	2	650
35	3	695
35	4	550
35	5	515
35	6	685
35	7	570
35	8	525
35	9	613
35	10	560
35	11	532
35	12	525
36	1	630
36	2	610
36	3	545
36	4	465
36	5	460
36	6	555
36	7	500
36	8	575
36	9	438
36	10	477
36	11	480
36	12	507
37	1	595
37	2	555
37	3	580
37	4	505
37	5	465
37	6	540
37	7	425
37	8	490
37	9	467
37	10	479
37	11	444
37	12	507
38	1	645
38	2	635
38	3	660
38	4	550
38	5	525
38	6	645
38	7	515
38	8	520
38	9	477
38	10	510
38	11	465
38	12	533
39	1	705
39	2	660
39	3	595
39	4	495
39	5	465
39	6	595
39	7	450
39	8	505
39	9	417
39	10	489
39	11	399
39	12	533
40	1	575
40	2	530
40	3	600
40	4	460
40	5	410
40	6	500
40	7	460
40	8	505
40	9	459
40	10	431
40	11	438
40	12	578
41	1	530
41	2	555
41	3	570
41	4	450
41	5	425
41	6	490
41	7	450
41	8	495
41	9	426
41	10	443
41	11	449
41	12	469
42	1	715
42	2	680
42	3	685
42	4	505
42	5	535
42	6	600
42	7	495
42	8	480
42	9	474
42	10	401
42	11	495
42	12	533
43	1	795
43	2	715
43	3	740
43	4	590
43	5	585
43	6	585
43	7	535
43	8	560
43	9	518
43	10	513
43	11	541
43	12	548
44	1	660
44	2	635
44	3	620
44	4	495
44	5	510
44	6	585
44	7	520
44	8	475
44	9	444
44	10	405
44	11	509
44	12	469
45	1	615
45	2	580
45	3	505
45	4	490
45	5	505
45	6	555
45	7	450
45	8	470
45	9	468
45	10	442
45	11	474
45	12	484
46	1	690
46	2	645
46	3	630
46	4	600
46	5	565
46	6	645
46	7	530
46	8	550
46	9	454
46	10	474
46	11	592
46	12	548
47	1	675
47	2	615
47	3	640
47	4	505
47	5	550
47	6	615
47	7	535
47	8	500
47	9	465
47	10	456
47	11	513
47	12	563
48	1	770
48	2	625
48	3	685
48	4	570
48	5	575
48	6	685
48	7	540
48	8	475
48	9	534
48	10	456
48	11	467
48	12	548
49	1	695
49	2	700
49	3	770
49	4	540
49	5	515
49	6	685
49	7	530
49	8	495
49	9	508
49	10	454
49	11	422
49	12	600
50	1	660
50	2	660
50	3	705
50	4	570
50	5	545
50	6	645
50	7	500
50	8	540
50	9	494
50	10	500
50	11	532
50	12	687
51	1	720
51	2	730
51	3	825
51	4	665
51	5	605
51	6	665
51	7	520
51	8	550
51	9	584
51	10	546
51	11	537
51	12	630
52	1	670
52	2	640
52	3	710
52	4	500
52	5	535
52	6	575
52	7	495
52	8	455
52	9	512
52	10	497
52	11	465
52	12	600
53	1	655
53	2	590
53	3	675
53	4	575
53	5	515
53	6	570
53	7	490
53	8	470
53	9	460
53	10	427
53	11	472
53	12	589
54	1	780
54	2	790
54	3	855
54	4	625
54	5	575
54	6	655
54	7	530
54	8	540
54	9	575
54	10	502
54	11	503
54	12	582
55	1	750
55	2	705
55	3	770
55	4	575
55	5	560
55	6	565
55	7	510
55	8	435
55	9	486
55	10	470
55	11	502
55	12	570
56	1	585
56	2	620
56	3	685
56	4	620
56	5	550
56	6	520
56	7	435
56	8	460
56	9	429
56	10	485
56	11	534
56	12	619
57	1	665
57	2	605
57	3	680
57	4	570
57	5	560
57	6	560
57	7	445
57	8	465
57	9	461
57	10	463
57	11	533
57	12	627
58	1	735
58	2	760
58	3	790
58	4	645
58	5	605
58	6	595
58	7	560
58	8	485
58	9	466
58	10	487
58	11	476
58	12	645
59	1	795
59	2	795
59	3	850
59	4	700
59	5	655
59	6	635
59	7	540
59	8	470
59	9	521
59	10	582
59	11	584
59	12	750
60	1	645
60	2	685
60	3	720
60	4	610
60	5	520
60	6	550
60	7	460
60	8	440
60	9	425
60	10	485
60	11	462
60	12	698
61	1	630
61	2	695
61	3	665
61	4	630
61	5	510
61	6	575
61	7	445
61	8	430
61	9	433
61	10	423
61	11	450
61	12	627
62	1	685
62	2	840
62	3	875
62	4	640
62	5	575
62	6	625
62	7	570
62	8	490
62	9	514
62	10	539
62	11	486
62	12	717
63	1	695
63	2	780
63	3	790
63	4	575
63	5	520
63	6	600
63	7	545
63	8	470
63	9	455
63	10	486
63	11	488
63	12	619
64	1	705
64	2	745
64	3	840
64	4	710
64	5	640
64	6	610
64	7	500
64	8	530
64	9	498
64	10	479
64	11	434
64	12	574
65	1	655
65	2	735
65	3	840
65	4	640
65	5	610
65	6	585
65	7	560
65	8	450
65	9	469
65	10	562
65	11	450
65	12	570
66	1	640
66	2	880
66	3	795
66	4	660
66	5	580
66	6	615
66	7	585
66	8	460
66	9	461
66	10	472
66	11	504
66	12	600
67	1	790
67	2	765
67	3	890
67	4	770
67	5	660
67	6	690
67	7	575
67	8	490
67	9	485
67	10	475
67	11	509
67	12	582
68	1	670
68	2	690
68	3	785
68	4	645
68	5	510
68	6	560
68	7	535
68	8	405
68	9	474
68	10	455
68	11	458
68	12	555
69	1	685
69	2	790
69	3	770
69	4	665
69	5	600
69	6	545
69	7	555
69	8	390
69	9	389
69	10	461
69	11	439
69	12	615
70	1	660
70	2	825
70	3	960
70	4	750
70	5	660
70	6	680
70	7	620
70	8	510
70	9	501
70	10	490
70	11	534
70	12	694
71	1	705
71	2	805
71	3	860
71	4	635
71	5	540
71	6	650
71	7	555
71	8	435
71	9	479
71	10	457
71	11	451
71	12	649
72	1	610
72	2	720
72	3	705
72	4	615
72	5	540
72	6	625
72	7	595
72	8	380
72	9	379
72	10	483
72	11	502
72	12	608
73	1	640
73	2	735
73	3	805
73	4	665
73	5	535
73	6	605
73	7	580
73	8	430
73	9	427
73	10	441
73	11	498
73	12	638
74	1	690
74	2	855
74	3	905
74	4	700
74	5	615
74	6	650
74	7	615
74	8	495
74	9	531
74	10	448
74	11	453
74	12	645
75	1	715
75	2	765
75	3	945
75	4	820
75	5	695
75	6	750
75	7	685
75	8	530
75	9	511
75	10	580
75	11	510
75	12	762
76	1	685
76	2	750
76	3	825
76	4	715
76	5	580
76	6	660
76	7	655
76	8	505
76	9	414
76	10	451
76	11	542
76	12	642
77	1	685
77	2	790
77	3	790
77	4	695
77	5	595
77	6	625
77	7	510
77	8	525
77	9	425
77	10	471
77	11	478
77	12	514
78	1	775
78	2	845
78	3	995
78	4	820
78	5	655
78	6	675
78	7	640
78	8	545
78	9	474
78	10	513
78	11	599
78	12	597
79	1	645
79	2	870
79	3	890
79	4	740
79	5	615
79	6	655
79	7	555
79	8	490
79	9	433
79	10	558
79	11	590
79	12	567
80	1	725
80	2	825
80	3	920
80	4	640
80	5	600
80	6	690
80	7	575
80	8	535
80	9	451
80	10	484
80	11	510
80	12	567
81	1	650
81	2	865
81	3	935
81	4	690
81	5	645
81	6	640
81	7	530
81	8	520
81	9	476
81	10	507
81	11	525
81	12	563
82	1	695
82	2	860
82	3	960
82	4	725
82	5	615
82	6	710
82	7	660
82	8	525
82	9	438
82	10	539
82	11	646
82	12	623
83	1	735
83	2	910
83	3	975
83	4	775
83	5	680
83	6	700
83	7	770
83	8	635
83	9	506
83	10	526
83	11	514
83	12	638
84	1	645
84	2	745
84	3	815
84	4	700
84	5	605
84	6	615
84	7	605
84	8	550
84	9	455
84	10	504
84	11	503
84	12	589
85	1	630
85	2	810
85	3	730
85	4	635
85	5	535
85	6	650
85	7	735
85	8	535
85	9	458
85	10	554
85	11	535
85	12	615
86	1	680
86	2	745
86	3	840
86	4	730
86	5	645
86	6	650
86	7	775
86	8	590
86	9	557
86	10	561
86	11	565
86	12	619
87	1	620
87	2	730
87	3	775
87	4	680
87	5	610
87	6	610
87	7	680
87	8	515
87	9	537
87	10	535
87	11	553
87	12	570
88	1	620
88	2	745
88	3	660
88	4	565
88	5	520
88	6	635
88	7	610
88	8	450
88	9	476
88	10	550
88	11	562
88	12	575
89	1	560
89	2	675
89	3	690
89	4	635
89	5	525
89	6	605
89	7	635
89	8	515
89	9	494
89	10	516
89	11	558
89	12	559
90	1	625
90	2	700
90	3	725
90	4	645
90	5	645
90	6	580
90	7	615
90	8	640
90	9	516
90	10	618
90	11	615
90	12	604
91	1	700
91	2	765
91	3	725
91	4	615
91	5	640
91	6	705
91	7	710
91	8	590
91	9	619
91	10	627
91	11	620
91	12	645
92	1	685
92	2	785
92	3	655
92	4	600
92	5	570
92	6	615
92	7	670
92	8	575
92	9	506
92	10	602
92	11	530
92	12	600
93	1	625
93	2	550
93	3	590
93	4	590
93	5	605
93	6	505
93	7	560
93	8	595
93	9	539
93	10	629
93	11	571
93	12	698
94	1	745
94	2	790
94	3	675
94	4	600
94	5	625
94	6	685
94	7	725
94	8	695
94	9	686
94	10	608
94	11	568
94	12	672
95	1	680
95	2	670
95	3	630
95	4	640
95	5	645
95	6	650
95	7	695
95	8	610
95	9	627
95	10	579
95	11	537
95	12	675
96	1	655
96	2	730
96	3	615
96	4	650
96	5	640
96	6	645
96	7	655
96	8	620
96	9	611
96	10	642
96	11	685
96	12	630
97	1	625
97	2	700
97	3	675
97	4	720
97	5	695
97	6	680
97	7	720
97	8	615
97	9	595
97	10	556
97	11	648
97	12	578
98	1	670
98	2	735
98	3	645
98	4	620
98	5	705
98	6	695
98	7	650
98	8	580
98	9	623
98	10	541
98	11	580
98	12	630
99	1	670
99	2	820
99	3	685
99	4	665
99	5	715
99	6	715
99	7	790
99	8	660
99	9	658
99	10	689
99	11	725
99	12	675
100	1	555
100	2	670
100	3	590
100	4	580
100	5	550
100	6	665
100	7	640
100	8	605
100	9	553
100	10	580
100	11	605
100	12	638
101	1	650
101	2	685
101	3	505
101	4	525
101	5	595
101	6	590
101	7	560
101	8	575
101	9	592
101	10	559
101	11	584
101	12	518
102	1	625
102	2	760
102	3	625
102	4	545
102	5	635
102	6	635
102	7	670
102	8	625
102	9	672
102	10	656
102	11	577
102	12	645
103	1	620
103	2	740
103	3	575
103	4	565
103	5	595
103	6	610
103	7	650
103	8	595
103	9	515
103	10	641
103	11	533
103	12	623
104	1	580
104	2	650
104	3	570
104	4	575
104	5	450
104	6	445
104	7	670
104	8	645
104	9	587
104	10	634
104	11	534
104	12	574
105	1	615
105	2	705
105	3	550
105	4	515
105	5	530
105	6	485
105	7	610
105	8	570
105	9	565
105	10	652
105	11	518
105	12	623
106	1	675
106	2	690
106	3	615
106	4	610
106	5	560
106	6	625
106	7	745
106	8	540
106	9	584
106	10	616
106	11	505
106	12	668
107	1	720
107	2	820
107	3	720
107	4	650
107	5	590
107	6	615
107	7	770
107	8	645
107	9	615
107	10	755
107	11	625
107	12	713
108	1	640
108	2	780
108	3	640
108	4	660
108	5	605
108	6	540
108	7	695
108	8	580
108	9	615
108	10	679
108	11	540
108	12	570
109	1	630
109	2	800
109	3	715
109	4	710
109	5	605
109	6	575
109	7	490
109	8	485
109	9	564
109	10	665
109	11	665
109	12	582
110	1	625
110	2	830
110	3	795
110	4	765
110	5	610
110	6	630
110	7	775
110	8	630
110	9	614
110	10	760
110	11	730
110	12	619
111	1	470
111	2	685
111	3	680
111	4	735
111	5	560
111	6	580
111	7	670
111	8	610
111	9	556
111	10	539
111	11	488
111	12	608
112	1	445
112	2	555
112	3	605
112	4	685
112	5	540
112	6	615
112	7	610
112	8	525
112	9	640
112	10	639
112	11	594
112	12	739
113	1	400
113	2	570
113	3	555
113	4	655
113	5	475
113	6	615
113	7	715
113	8	595
113	9	595
113	10	740
113	11	671
113	12	795
114	1	480
114	2	495
114	3	650
114	4	690
114	5	535
114	6	600
114	7	760
114	8	655
114	9	488
114	10	621
114	11	578
114	12	615
115	1	555
115	2	660
115	3	715
115	4	690
115	5	635
115	6	655
115	7	775
115	8	665
115	9	652
115	10	720
115	11	689
115	12	728
116	1	520
116	2	530
116	3	650
116	4	605
116	5	480
116	6	545
116	7	585
116	8	610
116	9	561
116	10	670
116	11	622
116	12	623
117	1	490
117	2	475
117	3	595
117	4	660
117	5	475
117	6	545
117	7	635
117	8	550
117	9	524
117	10	538
117	11	626
117	12	552
118	1	500
118	2	610
118	3	590
118	4	680
118	5	555
118	6	625
118	7	670
118	8	660
118	9	581
118	10	613
118	11	583
118	12	585
119	1	425
119	2	560
119	3	570
119	4	570
119	5	455
119	6	605
119	7	605
119	8	530
119	9	544
119	10	645
119	11	612
119	12	537
120	1	535
120	2	550
120	3	540
120	4	630
120	5	480
120	6	565
120	7	745
120	8	515
120	9	467
120	10	606
120	11	563
120	12	510
121	1	560
121	2	500
121	3	560
121	4	575
121	5	500
121	6	475
121	7	610
121	8	575
121	9	492
121	10	591
121	11	532
121	12	499
122	1	530
122	2	610
122	3	600
122	4	620
122	5	480
122	6	585
122	7	650
122	8	570
122	9	577
122	10	612
122	11	654
122	12	630
123	1	570
123	2	585
123	3	635
123	4	765
123	5	550
123	6	675
123	7	765
123	8	620
123	9	608
123	10	705
123	11	677
123	12	660
124	1	505
124	2	500
124	3	580
124	4	655
124	5	470
124	6	565
124	7	570
124	8	555
124	9	537
124	10	585
124	11	589
124	12	619
125	1	465
125	2	430
125	3	510
125	4	680
125	5	460
125	6	600
125	7	670
125	8	615
125	9	620
125	10	594
125	11	616
125	12	784
