row	col	yield
12	1	191
11	1	188
10	1	211
9	1	195
8	1	196
7	1	181
6	1	189
5	1	187
4	1	236
3	1	127
2	1	174
1	1	179
12	2	187
11	2	196
10	2	209
9	2	192
8	2	190
7	2	186
6	2	196
5	2	182
4	2	221
3	2	179
2	2	200
1	2	201
12	3	210
11	3	191
10	3	214
9	3	184
8	3	188
7	3	205
6	3	197
5	3	191
4	3	192
3	3	187
2	3	199
1	3	199
12	4	212
11	4	213
10	4	199
9	4	214
8	4	215
7	4	200
6	4	187
5	4	194
4	4	186
3	4	208
2	4	196
1	4	180
12	5	206
11	5	204
10	5	193
9	5	172
8	5	219
7	5	183
6	5	188
5	5	188
4	5	170
3	5	168
2	5	186
1	5	160
12	6	201
11	6	202
10	6	200
9	6	204
8	6	179
7	6	186
6	6	178
5	6	173
4	6	163
3	6	179
2	6	159
1	6	160
12	7	218
11	7	195
10	7	209
9	7	212
8	7	221
7	7	190
6	7	181
5	7	193
4	7	193
3	7	186
2	7	201
1	7	176
12	8	193
11	8	199
10	8	183
9	8	182
8	8	173
7	8	174
6	8	171
5	8	174
4	8	187
3	8	177
2	8	175
1	8	177
12	9	237
11	9	212
10	9	195
9	9	172
8	9	212
7	9	184
6	9	194
5	9	191
4	9	182
3	9	192
2	9	210
1	9	181
12	10	190
11	10	191
10	10	197
9	10	156
8	10	177
7	10	161
6	10	169
5	10	197
4	10	154
3	10	155
2	10	192
1	10	170
12	11	202
11	11	206
10	11	205
9	11	202
8	11	214
7	11	167
6	11	192
5	11	166
4	11	175
3	11	168
2	11	219
1	11	143
12	12	170
11	12	171
10	12	172
9	12	163
8	12	162
7	12	151
6	12	159
5	12	136
4	12	144
3	12	178
2	12	166
1	12	157
12	13	199
11	13	186
10	13	167
9	13	190
8	13	176
7	13	163
6	13	172
5	13	162
4	13	147
3	13	149
2	13	149
1	13	120
12	14	198
11	14	200
10	14	221
9	14	192
8	14	191
7	14	195
6	14	179
5	14	183
4	14	155
3	14	182
2	14	164
1	14	164
12	15	196
11	15	199
10	15	178
9	15	213
8	15	183
7	15	202
6	15	172
5	15	199
4	15	163
3	15	171
2	15	172
1	15	145
12	16	193
11	16	191
10	16	186
9	16	166
8	16	186
7	16	183
6	16	150
5	16	179
4	16	181
3	16	168
2	16	168
1	16	171
12	17	196
11	17	202
10	17	191
9	17	204
8	17	179
7	17	161
6	17	183
5	17	179
4	17	142
3	17	179
2	17	160
1	17	166
12	18	194
11	18	192
10	18	181
9	18	183
8	18	184
7	18	187
6	18	180
5	18	185
4	18	175
3	18	170
2	18	175
1	18	168
12	19	190
11	19	185
10	19	184
9	19	182
8	19	212
7	19	185
6	19	203
5	19	181
4	19	165
3	19	141
2	19	163
1	19	182
12	20	202
11	20	190
10	20	193
9	20	176
8	20	185
7	20	188
6	20	154
5	20	183
4	20	181
3	20	118
2	20	164
1	20	161
12	21	154
11	21	183
10	21	183
9	21	202
8	21	185
7	21	197
6	21	187
5	21	167
4	21	170
3	21	142
2	21	169
1	21	172
12	22	180
11	22	184
10	22	197
9	22	177
8	22	183
7	22	170
6	22	158
5	22	160
4	22	143
3	22	117
2	22	143
1	22	154
12	23	159
11	23	193
10	23	172
9	23	163
8	23	176
7	23	163
6	23	155
5	23	159
4	23	166
3	23	138
2	23	142
1	23	129
12	24	168
11	24	178
10	24	188
9	24	136
8	24	165
7	24	154
6	24	147
5	24	154
4	24	140
3	24	129
2	24	149
1	24	144
