env	gen	height	survival
Ratchaburi	G01	334	49
Ratchaburi	G02	348	86
Ratchaburi	G03	424	72
Ratchaburi	G04	439	67
Ratchaburi	G05	465	78
Ratchaburi	G06	428	85
Ratchaburi	G07	567	72
Ratchaburi	G08	520	76
Ratchaburi	G09	326	37
Ratchaburi	G10	416	55
Ratchaburi	G11	600	75
Ratchaburi	G12	571	82
Ratchaburi	G13	584	86
Ratchaburi	G14	608	74
Ratchaburi	G15	436	65
Ratchaburi	G16	552	76
Ratchaburi	G17	553	50
Ratchaburi	G18	520	86
Ratchaburi	G19	473	62
Ratchaburi	G20	419	55
Ratchaburi	G22	256	86
Ratchaburi	G23	467	41
Ratchaburi	G25	500	79
Ratchaburi	G26	523	81
Ratchaburi	G27	383	62
Ratchaburi	G28	406	29
Ratchaburi	G29	764	90
Ratchaburi	G30	764	90
Ratchaburi	G31	673	69
Ratchaburi	G32	490	86
Ratchaburi	G33	216	67
Ratchaburi	G34	209	72
Ratchaburi	G35	218	75
Ratchaburi	G36	248	90
SaiThong	G01	503	47
SaiThong	G02	413	78
SaiThong	G03	742	58
SaiThong	G04	802	81
SaiThong	G05	858	85
SaiThong	G06	899	91
SaiThong	G07	884	57
SaiThong	G08	941	86
SaiThong	G09	571	51
SaiThong	G10	799	73
SaiThong	G11	1083	64
SaiThong	G12	920	67
SaiThong	G13	1073	86
SaiThong	G14	695	73
SaiThong	G15	624	45
SaiThong	G16	685	63
SaiThong	G17	853	63
SaiThong	G18	796	69
SaiThong	G19	483	76
SaiThong	G20	497	54
SaiThong	G21	259	44
SaiThong	G22	392	68
SaiThong	G24	444	56
SaiThong	G25	434	76
SaiThong	G26	349	52
SaiThong	G27	267	55
SaiThong	G28	263	64
SaiThong	G29	884	88
SaiThong	G30	939	79
SaiThong	G31	894	82
SaiThong	G32	475	76
SaiThong	G33	116	58
SaiThong	G35	319	63
SiSaKet	G01	318	82
SiSaKet	G02	399	86
SiSaKet	G03	606	86
SiSaKet	G04	570	82
SiSaKet	G05	661	90
SiSaKet	G06	658	90
SiSaKet	G08	641	90
SiSaKet	G09	353	76
SiSaKet	G10	677	82
SiSaKet	G11	738	85
SiSaKet	G12	679	77
SiSaKet	G13	674	85
SiSaKet	G15	421	90
SiSaKet	G16	415	44
SiSaKet	G17	735	86
SiSaKet	G18	658	78
SiSaKet	G19	521	82
SiSaKet	G20	453	86
SiSaKet	G21	158	19
SiSaKet	G22	261	83
SiSaKet	G23	392	81
SiSaKet	G24	311	73
SiSaKet	G25	420	90
SiSaKet	G26	330	90
SiSaKet	G27	220	60
SiSaKet	G28	252	59
SiSaKet	G29	839	90
SiSaKet	G30	809	90
SiSaKet	G31	566	86
SiSaKet	G32	414	86
SiSaKet	G33	97	63
SiSaKet	G34	338	85
SiSaKet	G35	363	90
SiSaKet	G36	353	90
SiSaKet	G37	288	85
Sakaerat	G01	304	78
Sakaerat	G02	251	59
Sakaerat	G03	463	73
Sakaerat	G04	375	82
Sakaerat	G05	523	90
Sakaerat	G06	527	90
Sakaerat	G08	538	90
Sakaerat	G09	440	68
Sakaerat	G10	453	68
Sakaerat	G11	658	72
Sakaerat	G12	610	70
Sakaerat	G15	271	50
Sakaerat	G16	433	67
Sakaerat	G18	392	73
Sakaerat	G19	283	75
Sakaerat	G20	166	58
Sakaerat	G21	161	50
Sakaerat	G22	177	69
Sakaerat	G23	205	38
Sakaerat	G24	226	77
Sakaerat	G25	334	81
Sakaerat	G26	273	82
Sakaerat	G27	223	84
Sakaerat	G28	206	60
Sakaerat	G29	632	78
Sakaerat	G30	575	78
Sakaerat	G31	332	55
Sakaerat	G32	310	79
Sakaerat	G33	63	69
Sakaerat	G34	174	75
Sakaerat	G35	191	70
Sakaerat	G36	235	65
Sakaerat	G37	90	55
Chanthaburi	G01	163	33
Chanthaburi	G02	205	53
Chanthaburi	G03	288	52
Chanthaburi	G04	363	53
Chanthaburi	G05	379	90
Chanthaburi	G06	391	86
Chanthaburi	G08	363	50
Chanthaburi	G09	166	44
Chanthaburi	G11	285	52
Chanthaburi	G13	248	41
Chanthaburi	G15	137	44
Chanthaburi	G16	336	69
Chanthaburi	G17	248	67
Chanthaburi	G18	306	72
Chanthaburi	G19	143	44
Chanthaburi	G20	187	51
Chanthaburi	G21	174	17
Chanthaburi	G22	141	68
Chanthaburi	G24	84	34
Chanthaburi	G25	186	66
Chanthaburi	G26	143	45
Chanthaburi	G27	132	47
Chanthaburi	G28	171	37
Chanthaburi	G29	569	77
Chanthaburi	G30	555	86
Chanthaburi	G31	382	68
Chanthaburi	G32	415	73
Chanthaburi	G33	80	47
Chanthaburi	G35	76	45
Chanthaburi	G37	111	24
HuaiBong	G01	124	53
HuaiBong	G02	196	74
HuaiBong	G03	254	69
HuaiBong	G04	200	69
HuaiBong	G05	345	90
HuaiBong	G06	316	86
HuaiBong	G08	293	78
HuaiBong	G12	272	45
HuaiBong	G16	251	23
HuaiBong	G17	167	59
HuaiBong	G18	189	47
HuaiBong	G20	102	30
HuaiBong	G21	134	45
HuaiBong	G22	96	60
HuaiBong	G24	136	60
HuaiBong	G25	176	71
HuaiBong	G26	123	63
HuaiBong	G27	158	57
HuaiBong	G29	337	78
HuaiBong	G30	397	79
HuaiBong	G31	327	90
HuaiBong	G32	237	75
HuaiBong	G33	75	69
HuaiBong	G34	119	71
HuaiBong	G35	100	63
HuaiBong	G36	142	70
HuaiBong	G37	113	64
