"col"	"row"	"yield"	"year"	"crop"
1	1	111	1925	"oats"
2	1	113	1925	"oats"
3	1	108	1925	"oats"
4	1	91	1925	"oats"
5	1	93	1925	"oats"
6	1	93	1925	"oats"
7	1	96	1925	"oats"
8	1	99	1925	"oats"
9	1	88	1925	"oats"
10	1	80	1925	"oats"
11	1	91	1925	"oats"
12	1	88	1925	"oats"
13	1	96	1925	"oats"
14	1	92	1925	"oats"
15	1	92	1925	"oats"
16	1	75	1925	"oats"
17	1	87	1925	"oats"
18	1	104	1925	"oats"
19	1	96	1925	"oats"
20	1	98	1925	"oats"
21	1	92	1925	"oats"
22	1	83	1925	"oats"
23	1	90	1925	"oats"
24	1	101	1925	"oats"
25	1	107	1925	"oats"
26	1	93	1925	"oats"
27	1	93	1925	"oats"
28	1	89	1925	"oats"
29	1	102	1925	"oats"
30	1	107	1925	"oats"
31	1	99	1925	"oats"
32	1	108	1925	"oats"
33	1	105	1925	"oats"
34	1	102	1925	"oats"
35	1	117	1925	"oats"
36	1	127	1925	"oats"
37	1	119	1925	"oats"
38	1	114	1925	"oats"
39	1	103	1925	"oats"
40	1	77	1925	"oats"
41	1	79	1925	"oats"
42	1	84	1925	"oats"
43	1	72	1925	"oats"
1	2	108	1925	"oats"
2	2	126	1925	"oats"
3	2	114	1925	"oats"
4	2	105	1925	"oats"
5	2	101	1925	"oats"
6	2	96	1925	"oats"
7	2	96	1925	"oats"
8	2	97	1925	"oats"
9	2	101	1925	"oats"
10	2	104	1925	"oats"
11	2	110	1925	"oats"
12	2	105	1925	"oats"
13	2	102	1925	"oats"
14	2	106	1925	"oats"
15	2	108	1925	"oats"
16	2	100	1925	"oats"
17	2	111	1925	"oats"
18	2	115	1925	"oats"
19	2	105	1925	"oats"
20	2	110	1925	"oats"
21	2	107	1925	"oats"
22	2	99	1925	"oats"
23	2	105	1925	"oats"
24	2	112	1925	"oats"
25	2	102	1925	"oats"
26	2	95	1925	"oats"
27	2	100	1925	"oats"
28	2	103	1925	"oats"
29	2	106	1925	"oats"
30	2	102	1925	"oats"
31	2	101	1925	"oats"
32	2	107	1925	"oats"
33	2	102	1925	"oats"
34	2	97	1925	"oats"
35	2	111	1925	"oats"
36	2	107	1925	"oats"
37	2	102	1925	"oats"
38	2	98	1925	"oats"
39	2	104	1925	"oats"
40	2	97	1925	"oats"
41	2	108	1925	"oats"
42	2	107	1925	"oats"
43	2	107	1925	"oats"
1	3	122	1925	"oats"
2	3	103	1925	"oats"
3	3	87	1925	"oats"
4	3	78	1925	"oats"
5	3	88	1925	"oats"
6	3	100	1925	"oats"
7	3	104	1925	"oats"
8	3	91	1925	"oats"
9	3	NA	1925	"oats"
10	3	NA	1925	"oats"
11	3	NA	1925	"oats"
12	3	NA	1925	"oats"
13	3	NA	1925	"oats"
14	3	89	1925	"oats"
15	3	96	1925	"oats"
16	3	85	1925	"oats"
17	3	93	1925	"oats"
18	3	89	1925	"oats"
19	3	102	1925	"oats"
20	3	95	1925	"oats"
21	3	104	1925	"oats"
22	3	92	1925	"oats"
23	3	103	1925	"oats"
24	3	119	1925	"oats"
25	3	98	1925	"oats"
26	3	86	1925	"oats"
27	3	99	1925	"oats"
28	3	106	1925	"oats"
29	3	110	1925	"oats"
30	3	107	1925	"oats"
31	3	104	1925	"oats"
32	3	110	1925	"oats"
33	3	110	1925	"oats"
34	3	107	1925	"oats"
35	3	106	1925	"oats"
36	3	110	1925	"oats"
37	3	98	1925	"oats"
38	3	89	1925	"oats"
39	3	102	1925	"oats"
40	3	88	1925	"oats"
41	3	96	1925	"oats"
42	3	91	1925	"oats"
43	3	79	1925	"oats"
1	1	95	1926	"wheat"
2	1	95	1926	"wheat"
3	1	92	1926	"wheat"
4	1	94	1926	"wheat"
5	1	93	1926	"wheat"
6	1	94	1926	"wheat"
7	1	96	1926	"wheat"
8	1	100	1926	"wheat"
9	1	105	1926	"wheat"
10	1	107	1926	"wheat"
11	1	102	1926	"wheat"
12	1	97	1926	"wheat"
13	1	99	1926	"wheat"
14	1	100	1926	"wheat"
15	1	90	1926	"wheat"
16	1	104	1926	"wheat"
17	1	98	1926	"wheat"
18	1	103	1926	"wheat"
19	1	98	1926	"wheat"
20	1	94	1926	"wheat"
21	1	92	1926	"wheat"
22	1	93	1926	"wheat"
23	1	90	1926	"wheat"
24	1	90	1926	"wheat"
25	1	93	1926	"wheat"
26	1	100	1926	"wheat"
27	1	102	1926	"wheat"
28	1	109	1926	"wheat"
29	1	104	1926	"wheat"
30	1	106	1926	"wheat"
31	1	99	1926	"wheat"
32	1	98	1926	"wheat"
33	1	85	1926	"wheat"
34	1	94	1926	"wheat"
35	1	99	1926	"wheat"
36	1	102	1926	"wheat"
37	1	117	1926	"wheat"
38	1	116	1926	"wheat"
39	1	113	1926	"wheat"
40	1	109	1926	"wheat"
41	1	95	1926	"wheat"
42	1	93	1926	"wheat"
43	1	91	1926	"wheat"
1	2	106	1926	"wheat"
2	2	100	1926	"wheat"
3	2	96	1926	"wheat"
4	2	98	1926	"wheat"
5	2	100	1926	"wheat"
6	2	99	1926	"wheat"
7	2	102	1926	"wheat"
8	2	102	1926	"wheat"
9	2	100	1926	"wheat"
10	2	99	1926	"wheat"
11	2	96	1926	"wheat"
12	2	99	1926	"wheat"
13	2	93	1926	"wheat"
14	2	95	1926	"wheat"
15	2	100	1926	"wheat"
16	2	100	1926	"wheat"
17	2	100	1926	"wheat"
18	2	92	1926	"wheat"
19	2	94	1926	"wheat"
20	2	98	1926	"wheat"
21	2	98	1926	"wheat"
22	2	107	1926	"wheat"
23	2	105	1926	"wheat"
24	2	109	1926	"wheat"
25	2	100	1926	"wheat"
26	2	100	1926	"wheat"
27	2	94	1926	"wheat"
28	2	93	1926	"wheat"
29	2	95	1926	"wheat"
30	2	94	1926	"wheat"
31	2	96	1926	"wheat"
32	2	100	1926	"wheat"
33	2	94	1926	"wheat"
34	2	95	1926	"wheat"
35	2	106	1926	"wheat"
36	2	100	1926	"wheat"
37	2	96	1926	"wheat"
38	2	100	1926	"wheat"
39	2	106	1926	"wheat"
40	2	93	1926	"wheat"
41	2	95	1926	"wheat"
42	2	94	1926	"wheat"
