"bw"	"targetbw"	"adfi"	"adg"	"eggwt"	"age"
2068	2216	85	2.8	NA	143
2132	2278	91.7	21.3	NA	146
2234	2369	99.5	25.5	NA	150
2335	2440	105.7	33.7	NA	153
2426	2540	108.8	22.8	NA	157
2495	2615	113	23	NA	160
2581	2711	119.5	21.5	NA	164
2672	2778	123	30.3	NA	167
2787	2862	124	28.8	NA	171
NA	NA	NA	NA	50.1	173
2883	2921	124	32	52.3	174
NA	NA	NA	NA	51.1	176
NA	NA	NA	NA	53.3	177
2935	2997	124	13	53.1	178
NA	NA	NA	NA	53.2	179
NA	NA	NA	NA	52.1	180
2864	3052	124.7	-23.7	55.7	181
NA	NA	NA	NA	54.5	182
NA	NA	NA	NA	53.8	183
NA	NA	NA	NA	53.5	184
2868	3119	128.8	1	53.5	185
NA	NA	NA	NA	54.2	186
NA	NA	NA	NA	56.1	187
2870	3165	133.3	0.7	54.2	188
NA	NA	NA	NA	52.7	189
NA	NA	NA	NA	54.5	190
NA	NA	NA	NA	56	191
2918	3221	140.3	12	54.6	192
NA	NA	NA	NA	54.1	193
NA	NA	NA	NA	56.1	194
2951	3258	145.3	11	53.8	195
NA	NA	NA	NA	52.4	196
NA	NA	NA	NA	54.2	198
3031	3302	149.3	20	56.6	199
NA	NA	NA	NA	54.2	200
NA	NA	NA	NA	55.4	201
3063	3331	150.7	10.7	55.1	202
NA	NA	NA	NA	52.2	203
NA	NA	NA	NA	54.4	204
NA	NA	NA	NA	58.6	205
3042	3364	150.3	-5.3	57	206
NA	NA	NA	NA	56.8	207
NA	NA	NA	NA	58.9	208
3079	3385	150.7	12.3	57.3	209
NA	NA	NA	NA	56.9	210
NA	NA	NA	NA	57.9	211
NA	NA	NA	NA	58.7	212
3128	3400	151	12.3	58.9	213
NA	NA	NA	NA	57.4	214
NA	NA	NA	NA	57.8	215
3113	3408	149.7	-5	57.5	216
NA	NA	NA	NA	57.9	217
NA	NA	NA	NA	58.4	218
NA	NA	NA	NA	57.5	219
3146	3418	149.8	8.3	58.3	220
NA	NA	NA	NA	55.3	221
NA	NA	NA	NA	56.9	222
3156	3427	148	3.3	56.1	223
NA	NA	NA	NA	57.5	224
